time	T hot	T cold
16:38:04	27.4	27.2
16:38:06	27.4	27.1
16:38:07	27.3	27.1
16:38:08	27.3	27.1
16:38:10	27.3	27.1
16:38:11	28.1	26.8
16:38:12	29.6	26.0
16:38:14	30.0	25.1
16:38:15	30.4	24.1
16:38:16	30.5	23.2
16:38:18	30.6	22.5
16:38:19	30.7	21.4
16:38:20	30.8	20.5
16:38:22	30.9	19.7
16:38:23	31.0	18.8
16:38:24	31.0	17.9
16:38:26	31.1	17.1
16:38:27	31.2	16.3
16:38:28	31.2	15.4
16:38:30	31.4	14.7
16:38:31	31.4	13.9
16:38:32	31.6	13.1
16:38:34	31.6	12.3
16:38:35	31.7	11.7
16:38:36	31.8	10.9
16:38:38	31.9	10.1
16:38:39	31.9	9.5
16:38:40	32.0	8.8
16:38:42	32.1	7.9
16:38:43	32.2	7.4
16:38:44	32.3	6.7
16:38:46	32.4	6.0
16:38:47	32.5	5.5
16:38:48	32.5	4.9
16:38:50	32.6	4.2
16:38:51	32.7	3.6
16:38:52	32.8	3.1
16:38:54	32.9	2.5
16:38:55	33.0	2.0
16:38:56	33.1	1.4
16:38:58	33.1	0.9
16:38:59	33.2	0.3
16:39:00	33.3	-0.1
16:39:02	33.4	-0.6
16:39:03	33.5	-0.9
16:39:04	33.5	-1.6
16:39:06	33.7	-2.1
16:39:07	33.7	-2.6
16:39:08	33.8	-3.0
16:39:10	33.8	-3.4
16:39:11	34.0	-3.9
16:39:12	34.0	-4.3
16:39:14	34.1	-4.7
16:39:15	34.2	-5.1
16:39:16	34.3	-5.5
16:39:18	34.4	-5.9
16:39:19	34.5	-6.4
16:39:21	34.5	-6.8
16:39:22	34.5	-7.1
16:39:23	34.6	-7.5
16:39:25	34.7	-7.9
16:39:26	34.8	-8.3
16:39:27	34.9	-8.5
16:39:29	35.0	-8.9
16:39:30	35.0	-9.2
16:39:31	35.1	-9.6
16:39:33	35.1	-9.9
16:39:34	35.2	-10.2
16:39:35	35.3	-10.5
16:39:37	35.4	-10.8
16:39:38	35.5	-11.1
16:39:39	35.5	-11.4
16:39:41	35.6	-11.8
16:39:42	35.7	-12.1
16:39:43	35.7	-12.3
16:39:45	35.8	-12.6
16:39:46	35.8	-12.9
16:39:47	35.9	-13.1
16:39:49	36.0	-13.3
16:39:50	36.1	-13.6
16:39:51	36.2	-13.9
16:39:53	36.2	-14.1
16:39:54	36.2	-14.4
16:39:55	36.4	-14.6
16:39:57	36.4	-14.8
16:39:58	36.5	-15.0
16:39:59	36.6	-15.2
16:40:01	36.7	-15.4
16:40:02	36.7	-15.6
16:40:03	36.8	-15.9
16:40:05	36.9	-16.0
16:40:06	36.9	-16.2
