time	T hot	T cold
14:25:46	32.7	14.9
14:25:47	32.9	14.2
14:25:49	33.0	13.4
14:25:50	33.1	12.6
14:25:52	33.2	12.0
14:25:53	33.2	11.3
14:25:54	33.3	10.6
14:25:56	33.4	9.9
14:25:57	33.5	9.2
14:25:58	33.6	8.6
14:26:00	33.6	7.9
14:26:01	33.7	7.4
14:26:03	33.8	6.6
14:26:04	33.9	6.1
14:26:05	33.9	5.5
14:26:06	34.0	4.9
14:26:08	34.1	4.4
14:26:09	34.1	3.8
14:26:11	34.2	3.2
14:26:12	34.2	2.7
14:26:13	34.3	2.2
14:26:15	34.4	1.7
14:26:16	34.4	1.2
14:26:17	34.4	0.6
14:26:19	34.5	0.2
14:26:20	34.6	-0.2
14:26:21	34.6	-0.7
14:26:23	34.6	-1.1
14:26:24	34.6	-1.4
14:26:25	34.7	-2.1
14:26:27	34.7	-2.5
14:26:28	34.8	-2.9
14:26:30	34.8	-3.4
14:26:31	34.9	-3.8
14:26:32	34.9	-4.2
14:26:34	34.9	-4.6
14:26:35	34.9	-5.0
14:26:36	35.0	-5.4
14:26:38	35.0	-5.8
14:26:39	35.1	-6.2
14:26:40	35.1	-6.6
14:26:42	35.1	-6.9
14:26:43	35.1	-7.3
14:26:44	35.2	-7.6
14:26:46	35.2	-8.0
14:26:47	35.2	-8.3
14:26:48	35.2	-8.6
14:26:50	35.3	-9.0
14:26:51	35.3	-9.3
14:26:53	35.3	-9.6
14:26:54	35.4	-9.9
14:26:55	35.4	-10.2
14:26:57	35.4	-10.5
14:26:58	35.4	-10.8
14:26:59	35.4	-11.1
14:27:01	35.5	-11.5
14:27:02	35.5	-11.7
14:27:03	35.5	-12.0
14:27:05	35.5	-12.3
14:27:06	35.6	-12.5
14:27:07	35.6	-12.8
14:27:09	35.5	-13.0
14:27:10	35.6	-13.3
14:27:11	35.6	-13.6
14:27:13	35.6	-13.8
14:27:14	35.6	-14.1
14:27:15	35.6	-14.3
14:27:17	35.6	-14.5
14:27:18	35.7	-14.7
14:27:20	35.7	-15.0
14:27:21	35.7	-15.2
14:27:22	35.6	-15.4
14:27:24	35.6	-15.7
14:27:25	35.6	-15.9
14:27:26	35.6	-16.1
14:27:28	35.6	-16.3
14:27:29	35.6	-16.5
14:27:30	35.6	-16.6
14:27:32	35.7	-16.8
14:27:33	35.6	-17.1
14:27:34	35.6	-17.2
14:27:36	35.7	-17.4
14:27:37	35.6	-17.7
14:27:38	35.6	-17.9
14:27:40	35.6	-18.0
14:27:41	35.6	-18.2
14:27:43	35.6	-18.4
14:27:44	35.6	-18.6
14:27:45	35.6	-18.7
14:27:47	35.6	-18.8
14:27:48	35.6	-19.0
14:27:49	35.6	-19.2
14:27:51	35.6	-19.3
14:27:52	35.6	-19.4
14:27:53	35.6	-19.6
14:27:55	35.6	-19.8
14:27:56	35.6	-19.9
14:27:57	35.6	-20.0
14:27:59	35.6	-20.2
14:28:00	35.6	-20.3
14:28:01	35.6	-20.5
14:28:03	35.5	-20.7
14:28:04	35.5	-20.8
14:28:05	35.6	-20.8
14:28:07	35.6	-21.0
14:28:08	35.6	-21.1
14:28:10	35.6	-21.2
14:28:11	35.5	-21.4
14:28:12	35.6	-21.4
14:28:14	35.5	-21.6
14:28:15	35.6	-21.6
14:28:16	35.5	-21.8
14:28:18	35.5	-22.0
14:28:19	35.5	-22.1
14:28:20	35.5	-22.1
14:28:22	35.5	-22.2
14:28:23	35.5	-22.4
14:28:24	35.5	-22.5
14:28:26	35.5	-22.6
14:28:27	35.5	-22.7
14:28:28	35.5	-22.8
14:28:30	35.5	-22.9
14:28:31	35.5	-23.0
14:28:32	35.5	-23.2
14:28:34	35.5	-23.2
14:28:35	35.4	-23.4
14:28:37	35.4	-23.5
14:28:38	35.4	-23.6
14:28:39	35.4	-23.6
14:28:41	35.4	-23.7
14:28:42	35.4	-23.8
14:28:43	35.4	-23.9
14:28:45	35.4	-24.0
14:28:46	35.3	-24.1
14:28:47	35.4	-24.2
14:28:49	35.3	-24.3
14:28:50	35.3	-24.3
14:28:51	35.3	-24.4
14:28:53	35.3	-24.5
14:28:54	35.3	-24.6
14:28:56	35.3	-24.6
14:28:57	35.3	-24.7
14:28:58	35.3	-24.8
14:29:00	35.3	-24.9
14:29:01	35.3	-25.0
14:29:02	35.3	-25.0
14:29:04	35.3	-25.1
14:29:05	35.3	-25.1
14:29:06	35.3	-25.2
14:29:08	35.3	-25.3
14:29:09	35.3	-25.4
14:29:10	35.3	-25.4
14:29:12	35.3	-25.5
14:29:13	35.3	-25.5
14:29:14	35.3	-25.6
14:29:16	35.3	-25.7
14:29:17	35.3	-25.7
14:29:19	35.3	-25.7
14:29:20	35.3	-25.8
14:29:21	35.3	-25.9
14:29:23	35.3	-25.9
14:29:24	35.3	-26.0
14:29:25	35.3	-26.0
14:29:27	35.3	-26.1
14:29:28	35.3	-26.2
14:29:29	35.3	-26.2
14:29:31	35.2	-26.3
14:29:32	35.3	-26.3
14:29:33	35.3	-26.4
14:29:35	35.3	-26.4
14:29:36	35.3	-26.4
14:29:37	35.2	-26.5
14:29:39	35.2	-26.6
14:29:40	35.2	-26.6
14:29:42	35.2	-26.7
14:29:43	35.2	-26.8
14:29:44	35.2	-26.8
14:29:46	35.2	-26.8
14:29:47	35.2	-26.9
14:29:48	35.2	-26.9
14:29:50	35.2	-27.0
14:29:51	35.2	-27.1
14:29:52	35.2	-27.1
14:29:54	35.2	-27.1
14:29:55	35.2	-27.1
14:29:56	35.2	-27.2
14:29:58	35.2	-27.2
14:29:59	35.2	-27.2
14:30:01	35.2	-27.3
14:30:02	35.1	-27.3
14:30:03	35.2	-27.4
14:30:05	35.1	-27.5
14:30:06	35.2	-27.5
14:30:07	35.2	-27.5
14:30:09	35.2	-27.5
14:30:10	35.2	-27.6
14:30:11	35.1	-27.6
14:30:13	35.1	-27.6
14:30:14	35.2	-27.7
14:30:15	35.1	-27.7
14:30:17	35.1	-27.7
14:30:18	35.1	-27.8
14:30:19	35.1	-27.8
14:30:21	35.1	-27.8
14:30:22	35.1	-27.8
14:30:23	35.1	-27.8
14:30:25	35.1	-27.9
14:30:26	35.1	-28.0
14:30:27	35.1	-28.0
14:30:29	35.1	-28.0
14:30:30	35.1	-28.0
14:30:31	35.1	-28.0
14:30:33	35.1	-28.1
14:30:34	35.1	-28.1
14:30:36	35.1	-28.1
14:30:37	35.1	-28.2
14:30:38	35.1	-28.2
14:30:40	35.1	-28.2
14:30:41	35.1	-28.3
14:30:42	35.1	-28.3
14:30:44	35.1	-28.3
14:30:45	35.0	-28.3
14:30:46	35.1	-28.3
14:30:48	35.1	-28.3
14:30:49	35.0	-28.4
14:30:50	35.0	-28.4
14:30:52	35.0	-28.5
14:30:53	35.0	-28.5
14:30:54	35.0	-28.5
14:30:56	35.0	-28.5
14:30:57	35.0	-28.5
14:30:58	35.0	-28.5
14:31:00	35.0	-28.6
14:31:01	35.0	-28.5
14:31:02	35.0	-28.6
14:31:04	35.0	-28.6
14:31:05	35.0	-28.6
14:31:07	35.0	-28.7
14:31:08	35.0	-28.7
14:31:09	34.9	-28.7
14:31:11	35.0	-28.8
14:31:12	34.9	-28.8
14:31:13	35.0	-28.8
14:31:15	35.0	-28.8
14:31:16	34.9	-28.8
14:31:17	34.9	-28.9
14:31:19	34.9	-28.9
14:31:20	34.9	-28.9
14:31:21	34.9	-28.9
14:31:23	34.9	-28.9
14:31:24	34.9	-28.9
14:31:26	34.9	-29.0
14:31:27	34.9	-29.0
14:31:28	34.9	-29.0
14:31:30	34.9	-29.0
14:31:31	34.9	-29.0
14:31:32	34.9	-29.0
14:31:34	34.9	-29.1
14:31:35	34.9	-29.1
14:31:36	34.9	-29.1
14:31:38	34.9	-29.1
14:31:39	34.9	-29.2
14:31:40	34.9	-29.2
14:31:42	34.9	-29.2
14:31:43	34.9	-29.2
14:31:45	34.8	-29.2
14:31:46	34.8	-29.2
14:31:47	34.9	-29.2
14:31:49	34.9	-29.2
14:31:50	34.9	-29.2
14:31:51	34.9	-29.2
14:31:53	34.9	-29.2
14:31:54	34.9	-29.2
14:31:55	34.9	-29.2
14:31:57	34.9	-29.2
14:31:58	34.9	-29.2
14:31:59	34.9	-29.2
14:32:01	34.9	-29.2
14:32:02	34.9	-29.2
14:32:03	34.9	-29.2
14:32:05	34.9	-29.2
14:32:06	34.9	-29.2
14:32:08	34.9	-29.2
14:32:09	34.9	-29.2
14:32:10	34.9	-29.2
14:32:12	34.9	-29.2
14:32:13	34.9	-29.2
14:32:14	34.9	-29.2
14:32:16	34.9	-29.2
14:32:17	35.0	-29.2
14:32:18	34.9	-29.2
14:32:20	35.0	-29.3
14:32:21	35.0	-29.3
14:32:22	34.9	-29.3
14:32:24	34.9	-29.3
14:32:25	34.9	-29.3
14:32:27	34.9	-29.3
14:32:28	34.9	-29.4
14:32:29	34.9	-29.4
14:32:31	34.9	-29.4
14:32:32	34.9	-29.4
14:32:33	34.9	-29.4
14:32:35	34.9	-29.4
14:32:36	34.9	-29.4
14:32:37	34.9	-29.5
14:32:39	34.9	-29.4
14:32:40	34.9	-29.4
14:32:41	34.9	-29.5
14:32:43	34.8	-29.5
14:32:44	34.9	-29.5
14:32:45	34.9	-29.5
14:32:47	34.8	-29.5
14:32:48	34.9	-29.5
14:32:49	34.9	-29.5
14:32:51	34.9	-29.5
14:32:52	34.8	-29.5
14:32:54	34.8	-29.5
14:32:55	34.9	-29.5
14:32:56	34.8	-29.5
14:32:58	34.8	-29.5
14:32:59	34.8	-29.6
14:33:00	34.8	-29.6
14:33:02	34.8	-29.6
14:33:03	34.8	-29.6
14:33:04	34.8	-29.6
14:33:06	34.8	-29.6
14:33:07	34.8	-29.7
14:33:08	34.8	-29.7
14:33:10	34.8	-29.7
14:33:11	34.8	-29.6
14:33:12	34.9	-29.6
14:33:14	34.8	-29.6
14:33:15	34.8	-29.7
14:33:17	34.8	-29.7
14:33:18	34.8	-29.6
14:33:19	34.8	-29.6
14:33:21	34.8	-29.6
14:33:22	34.8	-29.6
14:33:23	34.8	-29.7
14:33:25	34.8	-29.6
14:33:26	34.8	-29.7
14:33:27	34.8	-29.7
14:33:29	34.8	-29.7
14:33:30	34.8	-29.7
14:33:31	34.8	-29.7
14:33:33	34.8	-29.7
14:33:34	34.9	-29.6
14:33:36	34.9	-29.6
14:33:37	34.9	-29.7
14:33:38	34.9	-29.7
14:33:40	34.9	-29.7
14:33:41	34.9	-29.7
14:33:42	34.9	-29.7
14:33:44	34.9	-29.7
14:33:45	34.9	-29.7
14:33:46	34.9	-29.7
14:33:48	34.9	-29.7
14:33:49	34.9	-29.7
14:33:50	34.8	-29.8
14:33:52	34.8	-29.7
14:33:53	34.8	-29.8
14:33:54	34.8	-29.8
14:33:56	34.8	-29.8
14:33:57	34.8	-29.8
14:33:59	34.8	-29.8
14:34:00	34.8	-29.9
14:34:01	34.8	-29.8
14:34:03	34.8	-29.8
14:34:04	34.8	-29.8
14:34:05	34.8	-29.9
14:34:07	34.8	-29.9
14:34:08	34.8	-29.9
14:34:09	34.8	-29.8
14:34:11	34.8	-29.8
14:34:12	34.8	-29.8
14:34:13	34.8	-29.8
14:34:15	34.8	-29.8
14:34:16	34.7	-29.8
14:34:17	34.7	-29.8
14:34:19	34.8	-29.9
14:34:20	34.8	-29.8
14:34:22	34.8	-29.8
14:34:23	34.8	-29.8
14:34:24	34.8	-29.8
14:34:26	34.8	-29.8
14:34:27	34.8	-29.8
14:34:28	34.8	-29.8
14:34:30	34.8	-29.9
14:34:31	34.8	-29.8
14:34:32	34.8	-29.8
14:34:34	34.7	-29.8
14:34:35	34.7	-29.9
14:34:36	34.7	-29.9
14:34:38	34.8	-29.9
14:34:39	34.8	-29.8
14:34:40	34.8	-29.9
14:34:42	34.8	-29.9
14:34:43	34.8	-29.8
14:34:45	34.8	-29.8
14:34:46	34.8	-29.9
14:34:47	34.8	-29.9
14:34:49	34.8	-29.9
14:34:50	34.7	-29.9
14:34:51	34.8	-29.9
14:34:53	34.7	-29.9
14:34:54	34.7	-29.9
14:34:55	34.7	-29.9
14:34:57	34.7	-29.9
14:34:58	34.8	-29.9
14:34:59	34.8	-29.9
14:35:01	34.8	-29.9
14:35:02	34.8	-29.9
14:35:03	34.8	-29.9
14:35:05	34.7	-29.9
14:35:06	34.8	-29.9
14:35:07	34.7	-30.0
14:35:09	34.7	-30.0
14:35:10	34.7	-29.9
14:35:11	34.7	-30.0
14:35:13	34.7	-30.0
14:35:14	34.7	-30.0
14:35:15	34.8	-29.9
14:35:17	34.7	-29.9
14:35:18	34.7	-30.0
14:35:20	34.7	-30.0
14:35:21	34.7	-30.0
14:35:22	34.7	-30.0
14:35:24	34.7	-30.0
14:35:25	34.7	-30.0
14:35:26	34.7	-30.0
14:35:28	34.7	-30.0
14:35:29	34.7	-30.0
14:35:30	34.7	-30.0
14:35:32	34.8	-30.0
14:35:33	34.7	-30.0
14:35:34	34.8	-30.0
14:35:36	34.8	-30.0
14:35:37	34.8	-30.0
14:35:38	34.8	-30.0
14:35:40	34.8	-30.0
14:35:41	34.8	-30.0
14:35:42	34.7	-30.0
14:35:44	34.8	-30.0
14:35:45	34.8	-30.0
14:35:47	34.7	-30.0
14:35:48	34.8	-30.0
14:35:49	34.8	-30.0
14:35:51	34.7	-30.0
14:35:52	34.8	-30.0
14:35:53	34.7	-30.0
14:35:55	34.7	-30.0
14:35:56	34.8	-30.0
14:35:57	34.8	-30.0
14:35:59	34.8	-30.1
14:36:00	34.8	-30.0
14:36:01	34.8	-30.0
14:36:03	34.8	-30.0
14:36:04	34.8	-30.1
14:36:05	34.7	-30.0
14:36:07	34.8	-30.0
14:36:08	34.7	-30.0
14:36:09	34.8	-30.0
14:36:11	34.8	-30.0
14:36:12	34.7	-30.0
14:36:13	34.7	-30.0
14:36:15	34.8	-30.0
14:36:16	34.8	-30.0
14:36:18	34.8	-30.0
