time	T hot	T cold
14:06:00	27.1	27.2
14:06:01	27.1	27.2
14:06:02	27.1	27.2
14:06:04	27.8	26.9
14:06:05	28.3	26.3
14:06:06	28.4	25.6
14:06:08	28.5	24.9
14:06:09	28.7	24.3
14:06:10	28.8	23.6
14:06:12	28.8	22.8
14:06:13	29.0	22.3
14:06:14	29.1	21.6
14:06:16	29.1	20.8
14:06:17	29.2	20.2
14:06:18	29.2	19.6
14:06:20	29.3	18.9
14:06:21	29.4	18.3
14:06:23	29.4	17.7
14:06:24	29.5	17.0
14:06:25	29.5	16.4
14:06:27	29.6	15.8
14:06:28	29.6	15.2
14:06:29	29.7	14.6
14:06:31	29.8	14.0
14:06:32	29.8	13.4
14:06:33	29.8	13.0
14:06:35	29.8	12.3
14:06:36	29.9	11.8
14:06:37	29.9	11.4
14:06:39	29.9	10.8
14:06:40	30.0	10.3
14:06:41	30.0	9.8
14:06:43	30.1	9.3
14:06:44	30.1	8.8
14:06:45	30.2	8.3
14:06:47	30.2	8.0
14:06:48	30.3	7.5
14:06:50	30.2	7.0
14:06:51	30.2	6.5
14:06:52	30.2	6.1
14:06:54	30.2	5.7
14:06:55	30.3	5.2
14:06:56	30.3	4.8
14:06:58	30.3	4.4
14:06:59	30.3	4.0
14:07:00	30.3	3.7
14:07:02	30.4	3.3
14:07:03	30.4	2.9
14:07:04	30.4	2.5
14:07:06	30.4	2.1
14:07:07	30.4	1.8
14:07:08	30.4	1.5
14:07:10	30.5	1.1
14:07:11	30.4	0.8
14:07:12	30.4	0.4
14:07:14	30.4	0.0
14:07:15	30.4	-0.1
14:07:17	30.4	-0.5
14:07:18	30.4	-0.8
14:07:19	30.4	-1.1
14:07:21	30.4	-1.4
14:07:22	30.4	-1.7
14:07:23	30.4	-2.0
14:07:25	30.5	-2.2
14:07:26	30.4	-2.5
14:07:27	30.5	-2.8
14:07:29	30.4	-3.1
14:07:30	30.5	-3.3
14:07:31	30.5	-3.6
14:07:33	30.5	-3.8
14:07:34	30.5	-4.1
14:07:35	30.5	-4.3
14:07:37	30.5	-4.6
14:07:38	30.6	-4.8
14:07:39	30.6	-5.1
14:07:41	30.6	-5.3
14:07:42	30.5	-5.6
14:07:43	30.5	-5.8
14:07:45	30.5	-6.0
14:07:46	30.5	-6.2
14:07:47	30.5	-6.4
14:07:49	30.5	-6.7
14:07:50	30.5	-6.9
14:07:51	30.6	-7.1
14:07:53	30.5	-7.3
14:07:54	30.5	-7.5
14:07:55	30.5	-7.7
14:07:57	30.5	-7.9
14:07:58	30.5	-8.1
14:07:59	30.5	-8.3
14:08:01	30.5	-8.5
14:08:02	30.5	-8.6
14:08:03	30.5	-8.8
14:08:05	30.5	-9.0
14:08:06	30.5	-9.1
14:08:08	30.5	-9.3
14:08:09	30.5	-9.5
14:08:10	30.5	-9.6
14:08:12	30.5	-9.8
14:08:13	30.5	-9.9
14:08:14	30.5	-10.1
14:08:16	30.5	-10.3
14:08:17	30.5	-10.4
14:08:18	30.5	-10.5
14:08:20	30.5	-10.7
14:08:21	30.4	-10.9
14:08:22	30.5	-11.0
14:08:24	30.5	-11.1
14:08:25	30.5	-11.2
14:08:26	30.5	-11.4
14:08:28	30.5	-11.5
14:08:29	30.4	-11.7
14:08:30	30.5	-11.8
14:08:32	30.5	-11.9
14:08:33	30.5	-12.0
14:08:34	30.5	-12.2
14:08:36	30.4	-12.3
14:08:37	30.4	-12.4
14:08:38	30.5	-12.6
14:08:40	30.4	-12.7
14:08:41	30.4	-12.8
14:08:42	30.5	-12.9
14:08:44	30.4	-13.0
14:08:45	30.4	-13.2
14:08:46	30.3	-13.4
14:08:48	30.3	-13.5
14:08:49	30.3	-13.5
14:08:50	30.3	-13.7
14:08:52	30.3	-13.8
14:08:53	30.3	-13.9
14:08:54	30.2	-14.0
14:08:56	30.3	-14.1
14:08:57	30.3	-14.1
14:08:59	30.3	-14.2
14:09:00	30.3	-14.4
14:09:01	30.3	-14.5
14:09:03	30.3	-14.6
14:09:04	30.3	-14.7
14:09:05	30.3	-14.7
14:09:07	30.3	-14.8
14:09:08	30.3	-14.9
14:09:09	30.2	-15.0
14:09:11	30.2	-15.1
14:09:12	30.2	-15.2
14:09:13	30.2	-15.3
14:09:15	30.2	-15.4
14:09:16	30.2	-15.5
14:09:17	30.2	-15.5
14:09:19	30.2	-15.6
14:09:20	30.2	-15.7
14:09:21	30.2	-15.8
14:09:23	30.2	-15.8
14:09:24	30.2	-15.9
14:09:25	30.1	-16.1
14:09:27	30.1	-16.2
14:09:28	30.1	-16.2
14:09:29	30.1	-16.2
14:09:31	30.1	-16.3
14:09:32	30.2	-16.4
14:09:33	30.2	-16.4
14:09:35	30.2	-16.5
14:09:36	30.2	-16.6
14:09:37	30.2	-16.6
14:09:39	30.2	-16.7
14:09:40	30.2	-16.8
14:09:41	30.2	-16.8
14:09:43	30.2	-16.8
14:09:44	30.2	-16.9
14:09:45	30.2	-17.0
14:09:47	30.2	-17.1
14:09:48	30.2	-17.2
14:09:49	30.2	-17.2
14:09:51	30.2	-17.2
14:09:52	30.2	-17.3
14:09:54	30.2	-17.4
14:09:55	30.2	-17.4
14:09:56	30.2	-17.5
14:09:58	30.2	-17.5
14:09:59	30.2	-17.6
14:10:00	30.2	-17.6
14:10:02	30.1	-17.7
14:10:03	30.1	-17.7
14:10:04	30.2	-17.8
14:10:06	30.2	-17.9
14:10:07	30.1	-18.0
14:10:08	30.1	-18.0
14:10:10	30.1	-18.0
14:10:11	30.1	-18.1
14:10:12	30.1	-18.2
14:10:14	30.1	-18.2
14:10:15	30.1	-18.3
14:10:16	30.1	-18.2
14:10:18	30.1	-18.3
14:10:19	30.1	-18.3
14:10:21	30.1	-18.4
14:10:22	30.1	-18.4
14:10:23	30.1	-18.5
14:10:25	30.1	-18.6
14:10:26	30.1	-18.6
14:10:27	30.1	-18.7
14:10:29	30.1	-18.7
14:10:30	30.0	-18.8
14:10:31	30.1	-18.8
14:10:33	30.1	-18.8
14:10:34	30.1	-18.9
14:10:35	30.1	-18.9
14:10:37	30.1	-18.9
14:10:38	30.1	-19.0
14:10:39	30.1	-19.0
14:10:41	30.1	-19.0
14:10:42	30.1	-19.0
14:10:43	30.1	-19.0
14:10:45	30.1	-19.1
14:10:46	30.1	-19.1
14:10:47	30.1	-19.1
14:10:49	30.1	-19.2
14:10:50	30.1	-19.2
14:10:51	30.1	-19.3
14:10:53	30.0	-19.3
14:10:54	30.1	-19.3
14:10:55	30.1	-19.3
14:10:57	30.1	-19.4
14:10:58	30.0	-19.4
14:10:59	30.0	-19.5
14:11:01	30.1	-19.5
14:11:02	30.0	-19.6
14:11:04	30.0	-19.6
14:11:05	30.0	-19.6
14:11:06	30.1	-19.6
14:11:08	30.1	-19.6
14:11:09	30.0	-19.7
14:11:10	30.0	-19.7
14:11:12	30.0	-19.7
14:11:13	30.1	-19.7
14:11:14	30.1	-19.7
14:11:16	30.1	-19.7
14:11:17	30.0	-19.8
14:11:18	30.0	-19.8
14:11:20	30.0	-19.8
14:11:21	30.0	-19.9
14:11:22	30.0	-19.9
14:11:24	30.0	-19.9
14:11:25	30.0	-19.9
14:11:27	30.0	-20.0
14:11:28	30.0	-20.0
14:11:29	30.0	-20.0
14:11:31	30.0	-20.0
14:11:32	30.0	-20.0
14:11:33	30.0	-20.1
14:11:35	30.0	-20.1
14:11:36	30.0	-20.2
14:11:37	30.0	-20.2
14:11:39	30.0	-20.2
14:11:40	30.0	-20.2
14:11:41	30.0	-20.2
14:11:43	30.0	-20.3
14:11:44	30.0	-20.3
14:11:45	30.0	-20.2
14:11:47	30.0	-20.3
14:11:48	30.1	-20.3
14:11:49	30.1	-20.3
14:11:51	30.0	-20.3
14:11:52	30.0	-20.3
14:11:53	30.1	-20.3
14:11:55	30.1	-20.3
14:11:56	30.0	-20.4
14:11:57	30.0	-20.4
14:11:59	30.0	-20.4
14:12:00	30.0	-20.4
14:12:01	30.0	-20.4
14:12:03	30.1	-20.5
14:12:04	30.0	-20.5
14:12:05	30.0	-20.5
14:12:07	30.0	-20.5
14:12:08	30.0	-20.5
14:12:09	30.1	-20.5
14:12:11	30.0	-20.6
14:12:12	30.0	-20.6
14:12:13	30.0	-20.6
14:12:15	29.9	-20.6
14:12:16	29.9	-20.7
14:12:18	30.0	-20.7
14:12:19	30.0	-20.6
14:12:20	30.0	-20.6
14:12:22	30.0	-20.7
14:12:23	30.0	-20.7
14:12:24	30.0	-20.7
14:12:26	30.0	-20.7
14:12:27	29.9	-20.8
14:12:28	30.0	-20.8
14:12:30	30.0	-20.8
14:12:31	29.9	-20.8
14:12:32	30.0	-20.8
14:12:34	29.9	-20.9
14:12:35	30.0	-20.8
14:12:36	29.9	-20.8
14:12:38	29.9	-20.9
14:12:39	29.9	-20.9
14:12:40	29.9	-20.9
14:12:42	30.0	-20.9
14:12:43	29.9	-20.9
14:12:44	30.0	-20.9
14:12:46	29.9	-21.0
14:12:47	29.9	-21.0
14:12:48	30.0	-20.9
14:12:50	29.9	-21.0
14:12:51	29.9	-21.0
14:12:53	29.9	-21.0
14:12:54	29.9	-21.0
14:12:55	29.9	-21.0
14:12:57	29.9	-21.0
14:12:58	29.9	-21.0
14:12:59	29.9	-21.0
14:13:01	29.9	-21.0
14:13:02	30.0	-21.0
14:13:03	30.0	-21.0
14:13:05	29.9	-21.0
14:13:06	29.9	-21.0
14:13:07	29.9	-21.0
14:13:09	29.9	-21.0
14:13:10	29.9	-21.0
14:13:11	29.9	-21.1
14:13:13	29.9	-21.1
14:13:14	29.9	-21.1
14:13:15	29.9	-21.1
14:13:17	29.9	-21.1
14:13:18	29.9	-21.1
14:13:19	29.9	-21.1
14:13:21	29.9	-21.1
14:13:22	29.9	-21.1
14:13:23	29.9	-21.1
14:13:25	29.9	-21.1
14:13:26	29.9	-21.1
14:13:27	29.9	-21.1
14:13:29	29.9	-21.2
14:13:30	29.9	-21.2
14:13:32	29.9	-21.1
14:13:33	29.9	-21.1
14:13:34	29.9	-21.2
14:13:36	29.9	-21.2
14:13:37	30.0	-21.2
14:13:38	30.0	-21.2
14:13:40	30.0	-21.2
14:13:41	30.0	-21.2
14:13:42	30.0	-21.2
14:13:44	30.0	-21.2
14:13:45	30.0	-21.2
14:13:46	30.0	-21.2
14:13:48	30.0	-21.2
14:13:49	30.0	-21.3
14:13:50	30.0	-21.2
14:13:52	30.0	-21.3
14:13:53	30.0	-21.3
14:13:54	30.0	-21.3
14:13:56	30.0	-21.3
14:13:57	30.0	-21.3
14:13:58	30.0	-21.3
14:14:00	30.0	-21.3
14:14:01	30.0	-21.3
14:14:02	30.0	-21.3
14:14:04	30.0	-21.3
14:14:05	30.0	-21.3
14:14:06	30.0	-21.3
14:14:08	30.0	-21.3
14:14:09	30.0	-21.3
14:14:10	30.0	-21.4
14:14:12	29.9	-21.4
14:14:13	29.9	-21.4
14:14:14	29.9	-21.4
14:14:16	29.9	-21.4
14:14:17	29.9	-21.4
14:14:19	29.9	-21.4
14:14:20	29.9	-21.4
14:14:21	29.9	-21.4
14:14:23	29.9	-21.5
14:14:24	29.9	-21.5
14:14:25	29.9	-21.4
14:14:27	29.9	-21.5
14:14:28	29.9	-21.5
14:14:29	29.9	-21.5
14:14:31	29.9	-21.5
14:14:32	29.9	-21.5
14:14:33	29.9	-21.5
14:14:35	29.9	-21.5
14:14:36	29.9	-21.6
14:14:37	29.8	-21.6
14:14:39	29.8	-21.6
14:14:40	29.8	-21.6
14:14:41	29.9	-21.6
14:14:43	29.9	-21.6
14:14:44	29.9	-21.6
14:14:45	29.9	-21.6
14:14:47	29.9	-21.6
14:14:48	29.9	-21.6
14:14:49	29.9	-21.6
14:14:51	29.9	-21.6
14:14:52	29.9	-21.6
14:14:53	29.9	-21.6
14:14:55	29.9	-21.6
14:14:56	29.9	-21.6
14:14:57	29.9	-21.6
14:14:59	29.9	-21.6
14:15:00	29.9	-21.6
14:15:01	29.9	-21.6
14:15:03	29.9	-21.6
14:15:04	29.9	-21.6
14:15:05	29.9	-21.6
14:15:07	29.9	-21.6
14:15:08	29.8	-21.6
14:15:09	29.9	-21.6
14:15:11	29.9	-21.6
14:15:12	29.9	-21.6
14:15:13	29.9	-21.6
14:15:15	29.9	-21.7
14:15:16	29.8	-21.7
14:15:17	29.8	-21.6
14:15:19	29.8	-21.6
14:15:20	29.9	-21.6
14:15:21	29.9	-21.6
