time	T hot	T cold	mBar	T test
17:58:03	25.4	27.5	43	20.9
17:58:04	25.4	27.5	43	20.9
17:58:05	25.5	27.4	43	21.0
17:58:07	25.5	27.5	43	20.9
17:58:08	25.3	27.5	43	21.0
17:58:10	25.2	27.4	44	20.9
17:58:11	25.0	27.5	41	20.9
17:58:12	25.1	27.5	41	21.0
17:58:14	25.2	27.4	44	21.0
17:58:15	25.5	27.5	43	21.0
17:58:16	25.6	27.5	45	21.0
17:58:18	25.8	27.5	44	21.0
17:58:19	26.0	27.5	44	21.0
17:58:20	26.1	27.5	44	21.0
17:58:22	26.2	27.5	41	21.0
17:58:23	26.2	27.5	44	21.0
17:58:24	26.2	27.5	43	21.1
17:58:26	26.2	27.5	44	21.1
17:58:27	26.1	27.5	41	21.1
17:58:28	26.2	27.5	43	21.2
17:58:30	26.1	27.4	43	21.2
17:58:31	26.1	27.5	44	21.2
17:58:32	26.2	27.4	45	21.2
17:58:34	26.2	27.5	44	21.2
17:58:35	26.2	27.5	43	21.2
17:58:37	26.2	27.4	43	21.2
17:58:38	26.2	27.5	44	21.3
17:58:39	26.1	27.5	45	21.3
17:58:41	26.2	27.5	43	21.3
17:58:42	26.2	27.5	43	21.3
17:58:43	26.4	27.5	44	21.3
17:58:45	26.3	27.5	43	21.3
17:58:46	26.1	27.5	45	21.3
17:58:47	26.2	27.5	43	21.3
17:58:49	26.3	27.5	43	21.3
17:58:50	26.4	27.5	41	21.3
17:58:51	26.4	27.5	43	21.3
17:58:53	26.4	27.5	41	21.4
17:58:54	26.2	27.5	44	21.4
17:58:55	26.2	27.5	43	21.4
17:58:57	26.2	27.5	44	21.4
17:58:58	26.1	27.5	41	21.4
17:58:59	26.2	27.6	44	21.4
17:59:01	26.2	27.6	44	21.4
17:59:02	26.1	27.5	41	21.4
17:59:03	26.1	27.5	44	21.4
17:59:05	26.0	27.4	43	21.4
17:59:06	26.0	27.4	44	21.4
17:59:08	26.0	27.4	45	21.4
17:59:09	25.9	27.5	45	21.4
17:59:10	25.8	27.4	44	21.5
17:59:12	26.0	27.4	44	21.5
17:59:13	26.1	27.5	45	21.5
17:59:14	26.1	27.4	43	21.5
17:59:16	25.9	27.4	43	21.6
17:59:17	25.6	27.4	43	21.6
17:59:18	25.5	27.3	45	21.6
17:59:20	25.4	27.3	44	21.6
17:59:21	25.3	27.3	43	21.6
17:59:22	25.2	27.3	46	21.6
17:59:24	25.1	27.3	44	21.6
17:59:25	25.2	27.3	43	21.6
17:59:26	25.2	27.2	44	21.6
17:59:28	25.2	27.2	44	21.6
17:59:29	25.2	27.2	44	21.6
17:59:31	25.4	27.3	43	21.6
17:59:32	25.5	27.3	44	21.6
17:59:33	25.5	27.4	44	21.7
17:59:35	25.5	27.4	45	21.6
17:59:36	25.5	27.2	45	21.6
17:59:37	25.5	27.2	44	21.6
17:59:39	25.5	27.2	44	21.7
17:59:40	25.5	27.1	45	21.6
17:59:41	25.5	27.0	45	21.7
17:59:43	25.4	27.0	44	21.7
17:59:44	25.3	26.9	45	21.7
17:59:45	25.3	27.0	44	21.7
17:59:47	25.3	27.1	45	21.7
17:59:48	25.3	27.1	45	21.7
17:59:49	25.3	27.1	45	21.7
17:59:51	25.3	27.1	44	21.7
17:59:52	25.2	27.0	44	21.7
17:59:53	25.1	27.1	45	21.7
17:59:55	25.4	27.2	43	21.7
17:59:56	25.2	27.0	44	21.8
17:59:58	25.0	26.8	45	21.8
17:59:59	24.9	26.5	45	21.8
18:00:00	24.9	26.3	45	21.7
18:00:02	24.9	26.3	46	21.7
18:00:03	24.9	26.3	45	21.7
18:00:04	25.0	26.3	46	21.4
18:00:06	25.1	26.4	45	21.1
18:00:07	25.2	26.4	43	20.9
18:00:08	25.2	26.5	43	20.6
18:00:10	25.2	26.7	45	20.3
18:00:11	25.1	26.7	44	20.0
18:00:12	25.2	26.8	44	19.7
18:00:14	25.3	26.9	44	19.5
18:00:15	25.3	27.0	45	19.2
18:00:16	25.4	27.1	45	18.9
18:00:18	25.6	27.2	44	18.7
18:00:19	25.6	27.2	43	18.4
18:00:20	25.7	27.3	44	18.2
18:00:22	25.7	27.4	45	18.0
18:00:23	25.9	27.4	44	17.7
18:00:24	26.0	27.5	43	17.5
18:00:26	26.2	27.5	45	17.3
18:00:27	26.3	27.6	44	17.0
18:00:28	26.4	27.6	43	16.8
18:00:30	26.2	27.6	44	16.6
18:00:31	26.1	27.7	44	16.3
18:00:32	26.0	27.6	44	16.1
18:00:34	26.0	27.6	44	15.9
18:00:35	26.1	27.6	43	15.6
18:00:36	26.1	27.7	46	15.4
18:00:38	26.0	27.7	44	15.2
18:00:39	25.8	27.7	45	15.0
18:00:41	25.8	27.7	44	14.8
18:00:42	25.7	27.7	45	14.6
18:00:43	25.9	27.6	45	14.4
18:00:45	25.9	27.7	45	14.1
18:00:46	25.8	27.7	44	14.0
18:00:47	25.7	27.7	45	13.7
18:00:49	25.6	27.7	45	13.5
18:00:50	25.7	27.7	44	13.3
18:00:51	25.8	27.7	44	13.1
18:00:53	25.7	27.6	44	12.9
18:00:54	25.6	27.6	45	12.8
18:00:55	25.6	27.5	44	12.6
18:00:57	25.6	27.5	44	12.4
18:00:58	25.8	27.6	44	12.2
18:00:59	25.8	27.6	46	12.0
18:01:01	25.7	27.6	45	11.8
18:01:02	25.7	27.6	44	11.6
18:01:03	25.8	27.5	44	11.4
18:01:05	25.7	27.4	44	11.2
18:01:06	25.6	27.5	43	11.0
18:01:07	25.7	27.5	41	10.9
18:01:09	25.6	27.5	43	10.7
18:01:10	25.6	27.5	44	10.5
18:01:12	25.7	27.5	43	10.3
18:01:13	25.7	27.5	41	10.1
18:01:14	25.6	27.5	44	10.0
18:01:16	25.5	27.6	43	9.7
18:01:17	25.3	27.6	44	9.6
18:01:18	25.1	27.6	43	9.4
18:01:20	25.0	27.7	44	9.2
18:01:21	25.0	27.6	43	9.1
18:01:22	24.9	27.7	41	8.9
18:01:24	24.8	27.7	44	8.8
18:01:25	24.9	27.6	43	8.6
18:01:27	24.9	27.6	41	8.4
18:01:28	24.9	27.6	43	8.3
18:01:29	24.8	27.5	44	8.1
18:01:31	24.9	27.5	43	7.9
18:01:32	24.9	27.6	41	7.8
18:01:33	25.0	27.6	43	7.7
18:01:35	25.0	27.6	41	7.6
18:01:36	25.0	27.6	43	7.4
18:01:37	25.0	27.6	44	7.3
18:01:39	25.0	27.6	43	7.1
18:01:40	25.1	27.6	45	6.9
18:01:41	25.1	27.5	43	6.8
18:01:43	25.0	27.5	41	6.7
18:01:44	25.0	27.5	41	6.6
18:01:45	25.1	27.5	41	6.4
18:01:47	25.1	27.5	43	6.2
18:01:48	25.2	27.5	45	6.1
18:01:49	25.2	27.5	45	6.0
18:01:51	25.3	27.5	43	5.8
18:01:52	25.2	27.5	44	5.7
18:01:54	25.2	27.5	41	5.6
18:01:55	25.3	27.4	44	5.4
18:01:56	25.4	27.3	45	5.3
18:01:58	25.4	27.3	46	5.2
18:01:59	25.3	27.4	44	5.0
18:02:00	25.2	27.4	43	4.9
18:02:02	25.1	27.4	41	4.8
18:02:03	25.1	27.4	43	4.7
18:02:04	25.1	27.5	45	4.5
18:02:06	25.0	27.5	45	4.4
18:02:07	24.9	27.5	46	4.3
18:02:08	24.9	27.5	45	4.1
18:02:10	24.8	27.6	46	4.0
18:02:11	24.7	27.6	46	3.9
18:02:12	24.7	27.6	46	3.8
18:02:14	24.7	27.6	44	3.7
18:02:15	24.6	27.6	45	3.6
18:02:16	24.7	27.6	44	3.5
18:02:18	24.8	27.6	44	3.4
18:02:19	25.1	27.5	44	3.3
18:02:20	25.3	27.5	44	3.2
18:02:22	25.2	27.4	44	3.0
18:02:23	25.3	27.4	44	2.9
18:02:25	25.3	27.0	44	2.8
18:02:26	25.5	26.7	45	2.7
18:02:27	26.1	27.1	44	2.6
18:02:29	26.0	27.7	44	2.5
18:02:30	26.1	28.0	45	2.4
18:02:31	26.1	28.2	45	2.3
18:02:33	26.1	28.3	45	2.1
18:02:34	26.2	28.4	44	2.1
18:02:35	26.2	28.5	43	1.9
18:02:37	26.2	28.5	45	1.9
18:02:38	26.2	28.6	45	1.8
18:02:39	26.3	28.7	45	1.7
18:02:41	26.3	28.7	45	1.6
18:02:42	26.3	28.7	45	1.5
18:02:43	26.3	28.7	44	1.4
18:02:45	26.3	28.7	44	1.4
