time	T hot	T cold	mBar
14:24:38	7.4	8.7	-955
14:24:39	7.5	8.7	-955
14:24:40	7.4	8.7	-955
14:24:42	7.4	8.7	-954
14:24:43	7.4	8.7	-954
14:24:44	7.5	8.7	-954
14:24:46	7.5	8.7	-954
14:24:47	7.5	8.7	-956
14:24:48	7.5	8.7	-955
14:24:49	7.5	8.8	-956
14:24:51	7.6	8.8	-954
14:24:52	7.5	8.8	-956
14:24:53	7.5	8.8	-952
14:24:55	7.6	8.8	-954
14:24:56	7.6	8.8	-956
14:24:57	7.6	8.8	-954
14:24:59	7.6	8.8	-955
14:25:00	7.6	8.8	-954
14:25:01	8.5	8.8	-955
14:25:03	10.5	8.0	-956
14:25:04	10.8	7.5	-955
14:25:05	10.9	7.2	-956
14:25:06	10.8	6.8	-957
14:25:08	10.9	6.6	-955
14:25:09	11.0	6.3	-957
14:25:10	11.0	6.0	-956
14:25:12	10.9	5.7	-956
14:25:13	10.9	5.4	-957
14:25:14	10.9	5.2	-956
14:25:16	10.9	5.0	-955
14:25:17	10.9	4.8	-955
14:25:18	11.0	4.5	-955
14:25:20	10.9	4.2	-954
14:25:21	11.0	4.0	-956
14:25:22	11.0	3.8	-955
14:25:23	11.0	3.6	-956
14:25:25	11.0	3.4	-954
14:25:26	11.0	3.1	-954
14:25:27	11.0	2.9	-955
14:25:29	11.0	2.7	-954
14:25:30	11.0	2.5	-952
14:25:31	11.0	2.3	-954
14:25:33	11.0	2.1	-954
14:25:34	10.9	1.9	-952
14:25:35	11.0	1.7	-956
14:25:37	11.0	1.4	-955
14:25:38	11.0	1.3	-954
14:25:39	10.9	1.1	-954
14:25:40	10.9	0.9	-952
14:25:42	10.9	0.7	-956
14:25:43	11.0	0.6	-951
14:25:44	11.0	0.4	-954
14:25:46	11.0	0.2	-954
14:25:47	11.0	0.0	-954
14:25:48	11.0	-0.0	-954
14:25:50	10.9	-0.2	-956
14:25:51	11.0	-0.3	-956
14:25:52	11.0	-0.5	-955
14:25:54	11.0	-0.7	-955
14:25:55	11.0	-0.8	-956
14:25:56	11.0	-1.0	-955
14:25:57	11.0	-1.2	-956
14:25:59	10.9	-1.3	-957
14:26:00	10.9	-1.5	-959
14:26:01	10.9	-1.7	-957
14:26:03	10.9	-1.9	-957
14:26:04	10.9	-2.0	-956
14:26:05	10.9	-2.1	-955
14:26:07	10.9	-2.2	-956
14:26:08	10.9	-2.4	-956
14:26:09	10.9	-2.6	-955
14:26:11	10.9	-2.6	-955
14:26:12	10.9	-2.8	-955
14:26:13	10.9	-2.9	-956
14:26:15	10.9	-3.1	-955
14:26:16	10.9	-3.2	-956
14:26:17	10.9	-3.4	-957
14:26:18	10.9	-3.5	-956
14:26:20	10.9	-3.6	-956
14:26:21	10.9	-3.7	-955
14:26:22	10.9	-3.8	-955
14:26:24	10.9	-3.9	-956
14:26:25	10.9	-4.0	-956
14:26:26	10.9	-4.1	-955
14:26:28	10.9	-4.2	-956
14:26:29	10.9	-4.3	-955
14:26:30	11.0	-4.4	-954
14:26:32	10.9	-4.5	-955
14:26:33	10.9	-4.7	-954
14:26:34	10.9	-4.7	-952
14:26:35	11.0	-4.8	-956
14:26:37	11.0	-4.9	-955
14:26:38	10.9	-5.1	-957
14:26:39	10.9	-5.2	-956
14:26:41	11.0	-5.3	-956
14:26:42	10.9	-5.4	-954
14:26:43	10.9	-5.4	-955
14:26:45	11.0	-5.5	-956
14:26:46	11.0	-5.6	-955
14:26:47	10.9	-5.8	-956
14:26:49	10.9	-5.9	-957
14:26:50	10.9	-6.0	-956
14:26:51	11.0	-6.1	-959
14:26:52	10.9	-6.1	-955
14:26:54	10.9	-6.2	-952
14:26:55	11.0	-6.3	-955
14:26:56	11.0	-6.4	-956
14:26:58	10.9	-6.5	-957
14:26:59	11.0	-6.6	-956
14:27:00	10.9	-6.7	-955
14:27:02	11.0	-6.7	-955
14:27:03	11.0	-6.8	-955
14:27:04	11.0	-6.8	-955
14:27:06	11.0	-6.9	-956
14:27:07	11.0	-7.0	-956
14:27:08	11.0	-7.1	-954
14:27:09	11.0	-7.2	-955
14:27:11	11.0	-7.3	-955
14:27:12	11.0	-7.4	-952
14:27:13	11.0	-7.4	-954
14:27:15	11.0	-7.5	-956
14:27:16	11.0	-7.6	-955
14:27:17	11.0	-7.7	-956
14:27:19	11.0	-7.7	-955
14:27:20	11.0	-7.8	-956
14:27:21	10.9	-7.9	-955
14:27:23	11.0	-8.0	-955
14:27:24	11.0	-8.1	-954
14:27:25	11.0	-8.1	-957
14:27:27	11.0	-8.1	-956
14:27:28	11.0	-8.2	-957
14:27:29	11.1	-8.3	-955
14:27:30	11.0	-8.4	-954
14:27:32	11.0	-8.4	-954
14:27:33	11.1	-8.5	-957
14:27:34	11.0	-8.6	-955
14:27:36	11.0	-8.6	-956
14:27:37	11.0	-8.7	-956
14:27:38	11.0	-8.8	-955
14:27:40	11.0	-8.8	-955
14:27:41	11.0	-8.9	-952
14:27:42	11.0	-9.0	-952
14:27:44	11.1	-9.0	-955
14:27:45	11.1	-9.1	-955
14:27:46	11.1	-9.2	-952
14:27:47	11.1	-9.3	-957
14:27:49	11.1	-9.3	-956
14:27:50	11.1	-9.4	-955
14:27:51	11.1	-9.5	-956
14:27:53	11.1	-9.5	-955
14:27:54	11.1	-9.5	-957
14:27:55	11.1	-9.6	-956
14:27:57	11.1	-9.7	-956
14:27:58	11.2	-9.7	-956
14:27:59	11.1	-9.8	-955
14:28:01	11.1	-9.8	-956
14:28:02	11.1	-9.9	-956
14:28:03	11.2	-10.0	-955
14:28:05	11.2	-10.1	-956
14:28:06	11.1	-10.2	-956
14:28:07	11.2	-10.2	-954
14:28:08	11.2	-10.2	-955
14:28:10	11.2	-10.2	-957
14:28:11	11.2	-10.3	-955
14:28:12	11.2	-10.4	-955
14:28:14	11.2	-10.4	-956
14:28:15	11.2	-10.5	-956
14:28:16	11.2	-10.5	-954
14:28:18	11.2	-10.6	-955
14:28:19	11.2	-10.6	-955
14:28:20	11.2	-10.8	-957
14:28:21	11.2	-10.8	-956
14:28:23	11.2	-10.9	-955
14:28:24	11.2	-10.9	-952
14:28:25	11.2	-10.9	-956
14:28:27	11.2	-11.0	-954
14:28:28	11.2	-11.0	-957
14:28:29	11.2	-11.1	-955
14:28:31	11.2	-11.2	-957
14:28:32	11.2	-11.2	-956
14:28:33	11.2	-11.3	-955
14:28:35	11.2	-11.3	-955
14:28:36	11.2	-11.3	-957
14:28:37	11.2	-11.4	-955
14:28:38	11.3	-11.4	-955
14:28:40	11.3	-11.5	-956
14:28:41	11.2	-11.6	-956
14:28:42	11.3	-11.5	-956
14:28:44	11.3	-11.5	-956
14:28:45	11.2	-11.6	-956
14:28:46	11.2	-11.7	-956
14:28:48	11.3	-11.7	-957
14:28:49	11.2	-11.8	-956
14:28:50	11.2	-11.8	-956
14:28:52	11.2	-11.9	-956
14:28:53	11.2	-11.9	-956
14:28:54	11.2	-11.9	-956
14:28:55	11.3	-12.0	-955
14:28:57	11.2	-12.0	-956
14:28:58	11.2	-12.1	-954
14:28:59	11.3	-12.1	-955
14:29:01	11.2	-12.2	-957
14:29:02	11.2	-12.2	-955
14:29:03	11.2	-12.2	-956
14:29:05	11.2	-12.2	-956
14:29:06	11.2	-12.3	-955
14:29:07	11.2	-12.3	-955
14:29:09	11.2	-12.4	-954
14:29:10	11.2	-12.4	-956
14:29:11	11.2	-12.5	-956
14:29:13	11.2	-12.5	-957
14:29:14	11.3	-12.6	-955
14:29:15	11.2	-12.6	-957
14:29:16	11.2	-12.6	-956
14:29:18	11.3	-12.7	-956
14:29:19	11.3	-12.7	-955
14:29:20	11.3	-12.8	-956
14:29:22	11.3	-12.8	-955
14:29:23	11.3	-12.9	-955
14:29:24	11.3	-12.9	-956
14:29:26	11.3	-12.9	-955
14:29:27	11.3	-12.9	-955
14:29:28	11.3	-12.9	-959
14:29:30	11.3	-12.9	-956
14:29:31	11.3	-13.0	-955
14:29:32	11.3	-13.0	-956
14:29:33	11.3	-13.1	-956
14:29:35	11.3	-13.2	-955
14:29:36	11.3	-13.2	-956
14:29:37	11.3	-13.2	-957
14:29:39	11.3	-13.2	-955
14:29:40	11.3	-13.3	-955
14:29:41	11.3	-13.3	-954
14:29:43	11.3	-13.4	-955
14:29:44	11.3	-13.4	-957
14:29:45	11.3	-13.4	-957
14:29:47	11.3	-13.5	-957
14:29:48	11.3	-13.6	-954
14:29:49	11.3	-13.6	-957
14:29:50	11.3	-13.6	-957
14:29:52	11.4	-13.6	-955
14:29:53	11.3	-13.6	-954
14:29:54	11.3	-13.6	-955
14:29:56	11.3	-13.7	-956
14:29:57	11.3	-13.7	-955
14:29:58	11.3	-13.7	-956
14:30:00	11.4	-13.8	-957
14:30:01	11.3	-13.8	-956
14:30:02	11.3	-13.8	-957
14:30:04	11.3	-13.9	-955
14:30:05	11.3	-13.9	-957
14:30:06	11.3	-13.9	-955
14:30:07	11.2	-14.0	-956
14:30:09	11.3	-14.0	-956
14:30:10	11.2	-14.1	-955
14:30:11	11.2	-14.1	-955
14:30:13	11.2	-14.1	-956
14:30:14	11.3	-14.2	-957
14:30:15	11.3	-14.2	-957
14:30:17	11.3	-14.2	-957
14:30:18	11.3	-14.2	-956
14:30:19	11.3	-14.2	-959
14:30:21	11.3	-14.2	-957
14:30:22	11.3	-14.3	-959
14:30:23	11.3	-14.3	-959
14:30:25	11.3	-14.3	-959
14:30:26	11.3	-14.4	-959
14:30:27	11.3	-14.4	-956
14:30:28	11.4	-14.4	-957
14:30:30	11.3	-14.5	-957
14:30:31	11.3	-14.5	-957
14:30:32	11.3	-14.5	-957
14:30:34	11.4	-14.5	-960
14:30:35	11.4	-14.6	-957
14:30:36	11.4	-14.6	-957
14:30:38	11.4	-14.6	-956
14:30:39	11.4	-14.6	-956
14:30:40	11.4	-14.6	-956
14:30:42	11.4	-14.7	-956
14:30:43	11.4	-14.7	-957
14:30:44	11.4	-14.8	-956
14:30:45	11.4	-14.8	-955
14:30:47	11.4	-14.9	-955
14:30:48	11.4	-14.9	-955
14:30:49	11.4	-14.9	-956
14:30:51	11.4	-14.9	-956
14:30:52	11.4	-14.9	-956
14:30:53	11.4	-14.9	-957
14:30:55	11.4	-14.9	-957
14:30:56	11.4	-14.9	-957
14:30:57	11.4	-15.0	-955
14:30:59	11.4	-15.0	-957
14:31:00	11.4	-15.0	-954
14:31:01	11.5	-15.1	-956
14:31:02	11.5	-15.1	-956
14:31:04	11.5	-15.1	-956
14:31:05	11.5	-15.2	-955
14:31:06	11.5	-15.2	-954
14:31:08	11.5	-15.2	-955
14:31:09	11.4	-15.2	-955
14:31:10	11.5	-15.2	-954
14:31:12	11.5	-15.3	-955
14:31:13	11.5	-15.3	-955
14:31:14	11.5	-15.3	-956
14:31:16	11.5	-15.4	-957
14:31:17	11.5	-15.4	-955
