time	T cold	T cell	mBar
13:45:10	29.6	31.1	-122
13:45:12	29.7	31.1	-120
13:45:13	29.7	31.1	-121
13:45:14	29.7	31.0	-120
13:45:16	29.6	31.0	-121
13:45:17	29.6	31.0	-121
13:45:18	29.6	31.0	-121
13:45:20	29.6	31.1	-121
13:45:21	29.7	31.1	-120
13:45:22	29.6	31.1	-121
13:45:24	29.6	31.1	-121
13:45:25	29.6	31.1	-121
13:45:26	29.6	31.1	-121
13:45:28	29.6	31.1	-121
13:45:29	29.6	31.0	-121
13:45:30	29.5	31.1	-120
13:45:32	29.4	31.1	-121
13:45:33	29.3	31.0	-123
13:45:34	29.3	31.1	-121
13:45:36	29.2	31.0	-122
13:45:37	29.2	31.0	-122
13:45:38	29.2	31.0	-121
13:45:40	29.2	31.0	-122
13:45:41	29.1	31.1	-120
13:45:42	29.0	31.0	-120
13:45:44	29.0	31.0	-121
13:45:45	28.9	31.0	-120
13:45:47	28.9	31.1	-121
13:45:48	28.8	31.0	-121
13:45:49	28.7	31.0	-121
13:45:51	28.5	31.0	-122
13:45:52	28.3	31.0	-121
13:45:53	28.1	31.0	-120
13:45:55	27.8	31.0	-121
13:45:56	27.7	31.0	-121
13:45:57	27.6	31.0	-121
13:45:59	27.5	31.0	-121
13:46:00	27.3	31.0	-120
13:46:01	27.2	31.0	-120
13:46:03	26.9	31.0	-117
13:46:04	26.7	31.0	-117
13:46:05	26.4	31.0	-118
13:46:07	26.1	31.0	-118
13:46:08	25.9	31.0	-120
13:46:09	25.6	31.0	-118
13:46:11	25.4	31.0	-120
13:46:12	25.3	30.9	-122
13:46:13	25.2	31.0	-120
13:46:15	25.2	30.9	-121
13:46:16	25.2	30.9	-120
13:46:17	25.0	30.9	-120
13:46:19	24.9	30.9	-121
13:46:20	24.8	30.9	-118
13:46:21	24.5	30.9	-121
13:46:23	24.3	30.9	-120
13:46:24	24.0	30.9	-118
13:46:25	23.7	30.9	-120
13:46:27	23.4	30.9	-120
13:46:28	23.1	30.8	-121
13:46:30	22.9	30.8	-121
13:46:31	22.8	30.9	-121
13:46:32	22.8	30.8	-122
13:46:34	22.8	30.8	-122
13:46:35	22.8	30.9	-121
13:46:36	22.8	30.8	-121
13:46:38	22.8	30.8	-122
13:46:39	22.7	30.8	-122
13:46:40	22.6	30.8	-122
13:46:42	22.4	30.8	-122
13:46:43	22.1	30.8	-125
13:46:44	21.8	30.8	-122
13:46:46	21.6	30.8	-122
13:46:47	21.4	30.8	-122
13:46:48	21.2	30.8	-122
13:46:50	21.1	30.8	-122
13:46:51	20.9	30.7	-123
13:46:52	20.7	30.7	-122
13:46:54	20.5	30.7	-122
13:46:55	20.4	30.7	-123
13:46:56	20.3	30.7	-122
13:46:58	20.3	30.7	-123
13:46:59	20.3	30.7	-123
13:47:00	20.2	30.6	-123
13:47:02	20.1	30.7	-122
13:47:03	20.0	30.7	-122
13:47:04	19.8	30.6	-123
13:47:06	19.7	30.6	-125
13:47:07	19.5	30.6	-122
13:47:08	19.4	30.6	-122
13:47:10	19.3	30.6	-122
13:47:11	19.1	30.5	-123
13:47:13	18.9	30.5	-123
13:47:14	18.7	30.5	-122
13:47:15	18.7	30.5	-122
13:47:17	18.6	30.5	-123
13:47:18	18.5	30.4	-123
13:47:19	18.4	30.4	-125
13:47:21	18.3	30.4	-123
13:47:22	18.1	30.4	-125
13:47:23	18.0	30.4	-123
13:47:25	17.9	30.3	-127
13:47:26	17.7	30.3	-123
13:47:27	17.7	30.3	-123
13:47:29	17.5	30.3	-123
13:47:30	17.3	30.3	-125
13:47:31	17.2	30.3	-123
13:47:33	17.0	30.3	-123
13:47:34	16.9	30.2	-125
13:47:35	16.8	30.2	-123
13:47:37	16.8	30.2	-126
13:47:38	16.7	30.1	-123
13:47:39	16.6	30.1	-126
13:47:41	16.4	30.1	-123
13:47:42	16.4	30.1	-125
13:47:43	16.3	30.0	-126
13:47:45	16.1	30.0	-126
13:47:46	16.0	30.1	-125
13:47:47	15.9	30.0	-126
13:47:49	15.7	30.0	-126
13:47:50	15.4	30.0	-125
13:47:52	15.3	30.0	-126
13:47:53	15.0	29.9	-128
13:47:54	14.8	29.9	-126
13:47:56	14.7	29.9	-128
13:47:57	14.5	29.8	-127
13:47:58	14.3	29.8	-126
13:48:00	14.2	29.8	-126
13:48:01	14.0	29.8	-126
13:48:02	13.9	29.7	-128
13:48:04	13.8	29.8	-128
13:48:05	13.7	29.7	-127
13:48:06	13.7	29.7	-128
13:48:08	13.6	29.7	-126
13:48:09	13.5	29.7	-127
13:48:10	13.4	29.6	-128
13:48:12	13.3	29.6	-127
13:48:13	13.3	29.6	-127
13:48:14	13.2	29.5	-126
13:48:16	13.0	29.5	-127
13:48:17	13.0	29.5	-125
13:48:18	12.9	29.5	-126
13:48:20	12.8	29.4	-128
13:48:21	12.7	29.4	-125
13:48:22	12.6	29.4	-128
13:48:24	12.5	29.4	-128
13:48:25	12.5	29.4	-127
13:48:26	12.3	29.4	-127
13:48:28	12.1	29.3	-129
13:48:29	12.1	29.2	-128
13:48:30	12.0	29.2	-128
13:48:32	11.8	29.2	-129
13:48:33	11.6	29.1	-129
13:48:35	11.5	29.2	-128
13:48:36	11.5	29.1	-129
13:48:37	11.5	29.1	-128
13:48:39	11.4	29.1	-126
13:48:40	11.3	29.0	-128
13:48:41	11.3	29.0	-129
13:48:43	11.2	29.0	-127
13:48:44	11.0	28.9	-125
13:48:45	10.7	28.9	-126
13:48:47	10.7	28.9	-127
13:48:48	10.6	28.8	-128
13:48:49	10.4	28.8	-128
13:48:51	10.2	28.7	-128
13:48:52	10.1	28.7	-129
13:48:53	10.0	28.7	-129
13:48:55	9.9	28.7	-129
13:48:56	9.7	28.6	-131
13:48:57	9.5	28.6	-131
13:48:59	9.4	28.6	-131
13:49:00	9.3	28.5	-128
13:49:01	9.1	28.5	-131
13:49:03	9.0	28.4	-131
13:49:04	8.9	28.4	-129
13:49:05	8.8	28.3	-131
13:49:07	8.6	28.3	-131
13:49:08	8.6	28.3	-131
13:49:09	8.6	28.3	-132
13:49:11	8.4	28.2	-132
13:49:12	8.4	28.2	-131
13:49:13	8.1	28.1	-131
13:49:15	8.0	28.1	-132
13:49:16	7.8	28.1	-133
13:49:18	7.7	28.0	-132
13:49:19	7.6	28.0	-133
13:49:20	7.4	27.9	-131
13:49:22	7.4	27.9	-132
13:49:23	7.4	27.9	-132
13:49:24	7.4	27.9	-131
13:49:26	7.2	27.8	-132
13:49:27	7.2	27.8	-132
13:49:28	7.1	27.7	-132
13:49:30	6.9	27.7	-132
13:49:31	6.9	27.7	-132
13:49:32	6.8	27.6	-133
13:49:34	6.6	27.6	-132
13:49:35	6.6	27.5	-132
