time	T hot	T mid	T cold	mBar
15:18:46	41.8	37.0	31.3	-1887
15:18:48	41.8	37.1	31.3	-1887
15:18:49	41.8	37.1	31.4	-1887
15:18:51	41.8	37.1	31.4	-1887
15:18:53	43.9	38.1	30.8	-1887
15:18:54	45.2	38.6	30.4	-1887
15:18:56	45.7	38.5	29.9	-1887
15:18:57	46.3	38.1	29.3	-1887
15:18:59	46.8	37.8	28.9	-1887
15:19:00	47.2	37.3	28.5	-1887
15:19:02	47.5	36.9	27.9	-1887
15:19:04	47.9	36.6	27.5	-1887
15:19:05	48.3	36.1	27.1	-1887
15:19:07	48.6	35.7	26.6	-1887
15:19:08	48.9	35.4	26.2	-1887
15:19:10	49.2	34.9	25.8	-1887
15:19:11	49.4	34.6	25.3	-1887
15:19:13	49.7	34.2	24.8	-1887
15:19:15	50.0	33.9	24.4	-1887
15:19:16	50.2	33.6	24.0	-1887
15:19:18	50.5	33.3	23.5	-1887
15:19:19	50.7	32.9	23.2	-1887
15:19:21	50.9	32.7	22.7	-1887
15:19:22	51.2	32.4	22.3	-1887
15:19:24	51.4	32.1	21.9	-1887
15:19:26	51.5	31.8	21.4	-1887
15:19:27	51.7	31.6	21.0	-1887
15:19:29	51.9	31.4	20.6	-1887
15:19:30	52.1	31.0	20.2	-1887
15:19:32	52.2	30.8	19.7	-1887
15:19:33	52.4	30.6	19.4	-1887
15:19:35	52.6	30.3	18.9	-1887
15:19:37	52.8	30.2	18.5	-1887
15:19:38	52.9	30.0	18.1	-1887
15:19:40	53.0	29.7	17.7	-1887
15:19:41	53.1	29.6	17.2	-1887
15:19:43	53.3	29.4	16.9	-1887
15:19:44	53.4	29.2	16.5	-1887
15:19:46	53.5	29.0	16.1	-1887
15:19:48	53.7	28.8	15.7	-1887
15:19:49	53.8	28.6	15.3	-1887
15:19:51	53.9	28.4	14.9	-1887
15:19:52	54.0	28.3	14.5	-1887
15:19:54	54.1	28.1	14.1	-1887
15:19:55	54.2	27.9	13.8	-1887
15:19:57	54.3	27.7	13.3	-1887
15:19:59	54.4	27.6	13.0	-1887
15:20:00	54.5	27.4	12.6	-1887
15:20:02	54.6	27.2	12.2	-1887
15:20:03	54.7	27.1	11.8	-1887
15:20:05	54.8	26.9	11.5	-1887
15:20:07	54.8	26.8	11.1	-1887
15:20:08	54.9	26.6	10.7	-1887
15:20:10	55.0	26.5	10.4	-1887
15:20:11	55.1	26.3	10.0	-1887
15:20:13	55.2	26.2	9.6	-1887
15:20:14	55.3	26.1	9.3	-1887
15:20:16	55.3	25.9	9.1	-1887
15:20:17	55.4	25.8	8.6	-1887
15:20:19	55.5	25.6	8.3	-1887
15:20:21	55.5	25.6	8.0	-1887
15:20:22	55.6	25.4	7.6	-1887
15:20:24	55.7	25.2	7.3	-1887
15:20:25	55.8	25.2	7.0	-1887
15:20:27	55.8	25.0	6.7	-1887
15:20:28	55.9	24.9	6.3	-1887
15:20:30	56.0	24.8	6.0	-1887
15:20:32	56.0	24.6	5.7	-1887
15:20:33	56.0	24.5	5.3	-1887
15:20:35	56.1	24.4	5.1	-1887
15:20:36	56.1	24.3	4.7	-1887
15:20:38	56.1	24.2	4.4	-1887
15:20:39	56.2	24.0	4.2	-1887
15:20:41	56.3	23.9	3.8	-1887
15:20:43	56.3	23.9	3.6	-1887
15:20:44	56.4	23.8	3.2	-1887
15:20:46	56.4	23.6	2.9	-1887
15:20:47	56.5	23.5	2.6	-1887
15:20:49	56.6	23.4	2.3	-1887
15:20:50	56.6	23.3	2.0	-1887
15:20:52	56.7	23.2	1.8	-1887
15:20:54	56.7	23.0	1.5	-1887
15:20:55	56.8	23.0	1.2	-1887
15:20:57	56.8	22.8	0.9	-1887
15:20:58	56.9	22.7	0.6	-1887
15:21:00	56.9	22.6	0.4	-1887
15:21:01	56.9	22.5	0.0	-1887
15:21:03	57.0	22.4	-0.2	-1887
15:21:05	57.0	22.3	-0.5	-1887
15:21:06	57.1	22.2	-0.7	-1887
15:21:08	57.1	22.1	-1.0	-1887
15:21:09	57.2	22.0	-1.2	-1887
15:21:11	57.2	21.9	-1.6	-1887
15:21:12	57.2	21.8	-1.8	-1887
15:21:14	57.3	21.7	-2.1	-1887
15:21:16	57.4	21.6	-2.3	-1887
15:21:17	57.4	21.5	-2.6	-1887
15:21:19	57.4	21.5	-2.9	-1887
15:21:20	57.4	21.4	-3.1	-1887
15:21:22	57.5	21.2	-3.4	-1887
15:21:23	57.6	21.2	-3.6	-1887
15:21:25	57.6	21.1	-3.9	-1887
15:21:27	57.6	21.0	-4.2	-1887
15:21:28	57.7	20.9	-4.4	-1887
15:21:30	57.7	20.9	-4.7	-1887
15:21:31	57.8	20.8	-4.9	-1887
15:21:33	57.8	20.6	-5.1	-1887
15:21:34	57.9	20.5	-5.3	-1887
15:21:36	57.9	20.5	-5.6	-1887
15:21:38	57.9	20.4	-5.7	-1887
15:21:39	57.9	20.3	-6.1	-1887
15:21:41	58.0	20.2	-6.2	-1887
15:21:42	58.0	20.2	-6.5	-1887
15:21:44	58.1	20.1	-6.8	-1887
15:21:45	58.1	20.0	-7.0	-1887
15:21:47	58.1	19.9	-7.1	-1887
15:21:49	58.1	19.9	-7.4	-1887
15:21:50	58.3	19.8	-7.5	-1887
15:21:52	58.3	19.8	-7.7	-1887
15:21:53	58.4	19.8	-8.0	-1887
15:21:55	58.4	19.6	-8.2	-1887
15:21:57	58.4	19.6	-8.4	-1887
15:21:58	58.4	19.5	-8.6	-1887
15:22:00	58.5	19.4	-8.8	-1887
15:22:01	58.5	19.4	-9.0	-1887
15:22:03	58.6	19.2	-9.2	-1887
15:22:04	58.6	19.2	-9.4	-1887
15:22:06	58.7	19.1	-9.6	-1887
15:22:08	58.7	19.1	-9.7	-1887
15:22:09	58.7	19.0	-10.0	-1887
15:22:11	58.8	18.9	-10.2	-1887
15:22:12	58.8	18.8	-10.3	-1887
15:22:14	58.8	18.8	-10.5	-1887
15:22:16	58.9	18.7	-10.7	-1887
15:22:17	58.9	18.6	-10.9	-1887
15:22:19	58.9	18.6	-11.1	-1887
15:22:20	59.0	18.5	-11.3	-1887
15:22:22	59.0	18.4	-11.5	-1887
15:22:23	59.0	18.4	-11.7	-1887
15:22:25	59.1	18.4	-11.8	-1887
15:22:27	59.1	18.3	-12.0	-1887
15:22:28	59.1	18.2	-12.3	-1887
15:22:30	59.2	18.1	-12.4	-1887
15:22:31	59.2	18.0	-12.6	-1887
15:22:33	59.2	18.0	-12.7	-1887
15:22:35	59.3	17.9	-12.9	-1887
15:22:36	59.3	17.9	-13.1	-1887
15:22:38	59.3	17.8	-13.2	-1887
15:22:39	59.3	17.8	-13.4	-1887
15:22:41	59.3	17.8	-13.5	-1887
15:22:42	59.3	17.7	-13.7	-1887
15:22:44	59.3	17.6	-13.8	-1887
15:22:46	59.4	17.6	-13.9	-1887
15:22:47	59.4	17.6	-14.1	-1887
15:22:49	59.4	17.5	-14.2	-1887
15:22:50	59.4	17.4	-14.4	-1887
15:22:52	59.4	17.4	-14.5	-1887
15:22:53	59.5	17.3	-14.6	-1887
15:22:55	59.5	17.3	-14.8	-1887
15:22:57	59.6	17.3	-15.0	-1887
15:22:58	59.7	17.2	-15.1	-1887
15:23:00	59.7	17.2	-15.2	-1887
15:23:01	59.7	17.1	-15.4	-1887
15:23:03	59.8	17.1	-15.5	-1887
15:23:04	59.8	17.0	-15.7	-1887
15:23:06	59.8	17.0	-15.9	-1887
15:23:08	59.8	17.0	-15.9	-1887
15:23:09	59.9	16.9	-16.0	-1887
15:23:11	60.0	16.9	-16.2	-1887
15:23:12	59.9	16.8	-16.4	-1887
15:23:14	60.0	16.8	-16.5	-1887
15:23:15	60.0	16.7	-16.6	-1887
15:23:17	60.0	16.7	-16.7	-1887
15:23:19	60.1	16.6	-16.9	-1887
15:23:20	60.1	16.6	-17.0	-1887
15:23:22	60.1	16.6	-17.1	-1887
15:23:23	60.2	16.6	-17.3	-1887
15:23:25	60.2	16.5	-17.4	-1887
15:23:26	60.3	16.5	-17.4	-1887
15:23:28	60.3	16.4	-17.5	-1887
15:23:30	60.3	16.4	-17.7	-1887
15:23:31	60.4	16.4	-17.8	-1887
15:23:33	60.4	16.4	-17.9	-1887
15:23:34	60.4	16.3	-18.0	-1887
15:23:36	60.5	16.3	-18.1	-1887
15:23:37	60.5	16.3	-18.3	-1887
15:23:39	60.5	16.3	-18.3	-1887
15:23:41	60.5	16.2	-18.5	-1887
15:23:42	60.6	16.2	-18.6	-1887
15:23:44	60.6	16.1	-18.7	-1887
15:23:45	60.6	16.2	-18.8	-1887
15:23:47	60.7	16.1	-18.9	-1887
15:23:48	60.7	16.1	-19.0	-1887
15:23:50	60.7	16.0	-19.1	-1887
15:23:52	60.7	16.0	-19.2	-1887
15:23:53	60.8	16.0	-19.3	-1887
15:23:55	60.9	16.0	-19.4	-1887
15:23:56	60.9	16.0	-19.4	-1887
15:23:58	60.9	15.9	-19.6	-1887
15:23:59	60.9	15.9	-19.7	-1887
15:24:01	61.0	15.8	-19.8	-1887
15:24:03	61.0	15.8	-19.9	-1887
15:24:04	61.0	15.8	-20.0	-1887
15:24:06	61.1	15.8	-20.1	-1887
15:24:07	61.1	15.8	-20.1	-1887
15:24:09	61.1	15.7	-20.2	-1887
15:24:11	61.2	15.7	-20.3	-1887
15:24:12	61.2	15.7	-20.4	-1887
15:24:14	61.3	15.7	-20.5	-1887
15:24:15	61.3	15.6	-20.6	-1887
15:24:17	61.3	15.7	-20.7	-1887
15:24:18	61.4	15.6	-20.8	-1887
15:24:20	61.4	15.5	-20.9	-1887
15:24:22	61.4	15.5	-21.0	-1887
15:24:23	61.5	15.5	-21.1	-1887
15:24:25	61.5	15.5	-21.1	-1887
15:24:26	61.5	15.5	-21.2	-1887
15:24:28	61.5	15.4	-21.3	-1887
15:24:30	61.6	15.4	-21.4	-1887
15:24:31	61.6	15.4	-21.5	-1887
15:24:33	61.7	15.4	-21.5	-1887
15:24:34	61.7	15.3	-21.6	-1887
15:24:36	61.7	15.3	-21.7	-1887
15:24:38	61.8	15.3	-21.8	-1887
15:24:39	61.8	15.3	-21.9	-1887
15:24:41	61.9	15.3	-21.9	-1887
15:24:42	61.9	15.2	-22.0	-1887
15:24:44	61.9	15.2	-22.1	-1887
15:24:45	62.0	15.2	-22.2	-1887
15:24:47	62.0	15.2	-22.2	-1887
15:24:49	62.0	15.2	-22.3	-1887
15:24:50	62.0	15.2	-22.4	-1887
15:24:52	62.1	15.2	-22.5	-1887
15:24:53	62.1	15.2	-22.5	-1887
15:24:55	62.2	15.2	-22.6	-1887
15:24:56	62.2	15.1	-22.6	-1887
15:24:58	62.2	15.1	-22.7	-1887
15:25:00	62.3	15.1	-22.8	-1887
15:25:01	62.3	15.1	-22.8	-1887
15:25:03	62.4	15.1	-22.9	-1887
15:25:04	62.4	15.1	-22.9	-1887
15:25:06	62.4	15.1	-23.0	-1887
15:25:07	62.4	15.1	-23.0	-1887
15:25:09	62.5	15.1	-23.1	-1887
15:25:11	62.5	15.1	-23.2	-1887
15:25:12	62.6	15.0	-23.3	-1887
15:25:14	62.6	15.0	-23.3	-1887
15:25:15	62.6	15.0	-23.3	-1887
15:25:17	62.6	15.0	-23.4	-1887
15:25:18	62.7	15.0	-23.4	-1887
15:25:20	62.7	15.0	-23.3	-1887
15:25:22	62.7	15.0	-23.2	-1887
15:25:23	62.7	15.0	-23.1	-1887
15:25:25	62.8	15.0	-23.1	-1887
