time	T mid	T vent	T cold	mBar
15:41:00	31.3	30.2	31.1	-1006
15:41:01	31.3	30.2	31.1	-1006
15:41:03	31.4	30.2	30.7	-1004
15:41:04	32.0	30.4	27.5	-1006
15:41:06	32.0	30.7	23.5	-1006
15:41:08	32.0	31.0	20.6	-1004
15:41:09	31.8	31.1	17.5	-1006
15:41:11	31.5	31.3	14.7	-1004
15:41:12	31.2	31.4	12.4	-1004
15:41:14	30.8	31.4	9.6	-1004
15:41:16	30.4	31.6	7.5	-1006
15:41:17	29.9	31.7	5.3	-1004
15:41:19	29.4	31.8	3.2	-1007
15:41:20	28.9	31.9	1.5	-1008
15:41:22	28.4	31.9	-0.3	-1004
15:41:24	27.9	32.0	-2.0	-1006
15:41:25	27.3	32.1	-3.8	-1006
15:41:27	26.7	32.1	-5.3	-1006
15:41:28	26.0	32.2	-6.5	-1006
15:41:30	25.5	32.3	-8.4	-1006
15:41:32	25.0	32.3	-9.6	-1004
15:41:33	24.4	32.4	-10.8	-1006
15:41:35	23.8	32.5	-12.1	-1006
15:41:36	23.3	32.5	-13.2	-1006
15:41:38	22.6	32.5	-14.4	-1006
15:41:40	22.3	32.6	-15.5	-1007
15:41:41	21.5	32.6	-16.6	-1006
15:41:43	21.1	32.7	-17.6	-1006
15:41:44	20.5	32.7	-18.4	-1006
15:41:46	19.9	32.8	-19.4	-1006
15:41:47	19.5	32.8	-20.4	-1006
15:41:49	19.0	32.9	-21.2	-1006
15:41:51	18.5	32.9	-22.1	-1007
15:41:52	17.7	33.0	-23.1	-1007
15:41:54	17.1	33.0	-24.0	-1006
15:41:55	16.7	33.0	-24.8	-1004
15:41:57	16.3	33.0	-25.4	-1006
15:41:59	15.8	33.1	-26.2	-1007
15:42:00	15.4	33.1	-26.9	-1006
15:42:02	14.9	33.2	-27.5	-1006
15:42:03	14.5	33.2	-28.2	-1007
15:42:05	14.1	33.2	-28.8	-1006
15:42:07	13.6	33.2	-29.4	-1007
15:42:08	13.3	33.2	-30.0	-1008
15:42:10	12.9	33.2	-30.5	-1007
15:42:11	12.5	33.3	-31.2	-1008
15:42:13	12.1	33.3	-31.6	-1008
15:42:15	11.5	33.3	-32.2	-1008
15:42:16	11.2	33.3	-33.0	-1008
15:42:18	10.8	33.4	-33.4	-1008
15:42:19	10.4	33.4	-34.0	-1006
15:42:21	10.1	33.4	-34.4	-1008
15:42:23	9.7	33.4	-34.9	-1006
15:42:24	9.4	33.4	-35.3	-1008
15:42:26	9.2	33.4	-35.7	-1008
15:42:27	8.8	33.4	-36.1	-1008
15:42:29	8.6	33.5	-36.5	-1007
15:42:31	8.2	33.5	-37.0	-1007
15:42:32	7.9	33.5	-37.4	-1007
15:42:34	7.6	33.5	-37.7	-1008
15:42:35	7.3	33.5	-38.1	-1007
15:42:37	7.1	33.6	-38.4	-1008
15:42:38	6.6	33.6	-39.0	-1008
15:42:40	6.3	33.6	-39.4	-1007
15:42:42	6.1	33.6	-39.6	-1007
15:42:43	5.8	33.6	-40.0	-1007
15:42:45	5.6	33.7	-40.4	-1006
15:42:46	5.3	33.7	-40.7	-1007
15:42:48	5.1	33.6	-40.9	-1008
