time	T hot	T vent	T cold	mBar
11:59:13	30.2	29.8	30.1	-1007
11:59:15	30.2	29.8	30.1	-1006
11:59:16	33.3	29.7	28.4	-1006
11:59:18	34.2	29.7	24.7	-1007
11:59:20	34.5	29.9	21.2	-1007
11:59:21	34.7	30.0	18.4	-1006
11:59:23	34.8	30.1	15.2	-1006
11:59:24	34.9	30.2	12.6	-1006
11:59:26	34.9	30.3	10.0	-1006
11:59:27	35.0	30.3	7.6	-1004
11:59:29	35.0	30.4	5.6	-1006
11:59:31	35.1	30.4	3.4	-1004
11:59:32	35.2	30.4	1.4	-1007
11:59:34	35.2	30.4	-0.2	-1007
11:59:35	35.2	30.5	-2.1	-1007
11:59:37	35.2	30.5	-3.8	-1007
11:59:39	35.3	30.5	-5.2	-1006
11:59:40	35.4	30.5	-6.8	-1007
11:59:42	35.4	30.6	-8.3	-1006
11:59:43	35.5	30.6	-9.6	-1007
11:59:45	35.7	30.6	-10.9	-1008
11:59:46	35.7	30.7	-12.3	-1007
11:59:48	35.7	30.7	-13.4	-1007
11:59:50	35.6	30.7	-14.6	-1006
11:59:51	35.7	30.7	-15.8	-1007
11:59:53	35.7	30.7	-16.8	-1006
11:59:54	35.7	30.7	-17.8	-1006
11:59:56	35.7	30.7	-18.8	-1007
11:59:57	35.7	30.8	-19.7	-1008
11:59:59	35.8	30.8	-20.7	-1006
12:00:01	35.8	30.8	-21.6	-1008
12:00:02	35.8	30.8	-22.4	-1006
12:00:04	35.8	30.8	-23.4	-1006
12:00:05	35.8	30.8	-24.2	-1007
12:00:07	35.8	30.8	-24.9	-1008
12:00:09	35.9	30.9	-25.6	-1008
12:00:10	35.9	30.8	-26.4	-1008
12:00:12	36.0	30.8	-27.1	-1007
12:00:13	36.0	30.9	-27.8	-1006
12:00:15	36.0	30.9	-28.5	-1006
12:00:16	36.1	30.9	-29.1	-1008
12:00:18	36.1	30.9	-29.8	-1007
12:00:20	36.1	31.0	-30.3	-1007
12:00:21	36.2	30.9	-31.0	-1006
12:00:23	36.2	30.9	-31.6	-1007
12:00:24	36.2	30.9	-32.1	-1006
12:00:26	36.2	31.0	-32.7	-1007
12:00:27	36.2	31.0	-33.2	-1006
12:00:29	36.3	31.0	-33.7	-1007
12:00:31	36.3	31.0	-34.3	-1008
12:00:32	36.4	31.0	-34.7	-1006
12:00:34	36.4	31.1	-35.1	-1007
12:00:35	36.5	31.1	-35.7	-1008
12:00:37	36.4	31.1	-36.1	-1006
12:00:39	36.5	31.1	-36.5	-1007
12:00:40	36.5	31.1	-37.0	-1007
12:00:42	36.5	31.1	-37.4	-1008
12:00:43	36.6	31.1	-37.8	-1008
12:00:45	36.6	31.2	-38.2	-1008
12:00:46	36.6	31.2	-38.6	-1006
12:00:48	36.7	31.2	-38.9	-1007
12:00:50	36.6	31.2	-39.4	-1007
12:00:51	36.7	31.2	-39.6	-1006
12:00:53	36.7	31.2	-40.1	-1007
12:00:54	36.8	31.3	-40.3	-1009
12:00:56	36.7	31.2	-40.7	-1008
12:00:58	36.8	31.2	-41.0	-1007
12:00:59	36.8	31.2	-41.3	-1006
