time	T cold	T water	T connector	mBar
15:26:59	44.3	6.4	43.8	8275
15:27:00	44.3	6.4	43.8	8294
15:27:02	44.3	6.4	43.8	8301
15:27:04	44.3	6.3	43.8	8320
15:27:05	44.1	6.3	43.8	8341
15:27:07	43.4	6.2	43.7	8357
15:27:08	42.9	6.3	43.7	8374
15:27:10	42.4	6.2	43.7	8382
15:27:12	41.8	6.2	43.7	8398
15:27:13	41.3	6.4	43.7	8404
15:27:15	40.8	6.4	43.7	8419
15:27:16	40.2	6.6	43.7	8429
15:27:18	39.8	6.7	43.8	8439
15:27:20	39.3	6.8	43.8	8453
15:27:21	38.8	6.9	43.8	8458
15:27:23	38.3	7.0	43.9	8471
15:27:24	37.7	7.1	43.9	8477
15:27:26	37.3	7.1	44.0	8486
15:27:28	36.8	7.0	44.0	8493
15:27:29	36.2	7.0	44.0	8500
15:27:31	35.7	7.0	44.0	8505
15:27:32	35.1	6.9	44.1	8514
15:27:34	34.7	6.8	44.2	8515
15:27:36	34.1	6.9	44.2	8528
15:27:37	33.6	7.0	44.3	8533
15:27:39	33.2	7.1	44.3	8539
15:27:40	32.7	6.9	44.4	8545
15:27:42	32.2	7.0	44.5	8550
15:27:43	31.6	7.1	44.5	8559
15:27:45	31.1	7.2	44.6	8562
15:27:47	30.7	7.2	44.6	8575
15:27:48	30.1	7.3	44.7	8585
15:27:50	29.6	7.2	44.7	8593
15:27:51	29.1	7.0	44.7	8598
15:27:53	28.6	6.9	44.9	8603
15:27:55	28.2	7.2	44.9	8611
15:27:56	27.6	7.2	45.0	8612
15:27:58	27.1	7.3	45.1	8619
15:27:59	26.7	7.1	45.1	8622
15:28:01	26.1	7.2	45.2	8628
15:28:03	25.6	7.2	45.2	8630
15:28:04	25.1	7.0	45.2	8635
15:28:06	24.6	7.0	45.3	8637
15:28:07	24.1	7.0	45.3	8640
15:28:09	23.6	7.0	45.3	8644
15:28:11	23.1	7.0	45.4	8647
15:28:12	22.7	7.0	45.4	8650
15:28:14	22.1	7.1	45.5	8651
15:28:15	21.6	7.3	45.5	8655
15:28:17	21.1	7.3	45.5	8656
15:28:18	20.6	7.2	45.6	8660
15:28:20	20.2	7.1	45.6	8661
15:28:22	19.5	7.1	45.6	8666
15:28:23	19.1	7.2	45.7	8669
15:28:25	18.7	7.0	45.7	8674
15:28:26	18.2	7.1	45.7	8676
15:28:28	17.7	7.1	45.8	8679
15:28:30	17.2	7.0	45.9	8685
15:28:31	16.8	7.0	45.9	8685
15:28:33	16.2	6.9	45.9	8691
15:28:34	15.7	6.8	45.9	8695
15:28:36	15.3	6.7	45.9	8700
15:28:38	14.8	6.6	45.9	8701
15:28:39	14.4	6.6	46.0	8707
15:28:41	13.8	6.5	45.9	8712
15:28:43	13.4	6.7	46.0	8713
15:28:44	12.9	6.6	46.0	8717
15:28:46	12.4	6.4	46.0	8720
15:28:47	12.0	6.3	46.0	8726
15:28:49	11.5	6.5	46.0	8728
15:28:50	11.1	6.5	46.1	8732
15:28:52	10.6	6.6	46.1	8734
15:28:54	10.2	6.7	46.1	8738
15:28:55	9.8	6.8	46.1	8744
15:28:57	9.3	6.8	46.1	8746
15:28:58	8.8	6.8	46.1	8748
15:29:00	8.4	6.7	46.2	8750
15:29:02	7.9	6.8	46.1	8755
15:29:03	7.5	6.9	46.1	8758
15:29:05	7.0	6.8	46.1	8762
15:29:06	6.6	6.7	46.1	8763
15:29:08	6.2	6.9	46.1	8768
15:29:10	5.7	6.9	46.1	8769
15:29:11	5.3	6.9	46.1	8773
15:29:13	4.9	6.9	46.2	8775
15:29:14	4.5	6.9	46.2	8778
15:29:16	4.1	6.9	46.2	8781
15:29:18	3.5	7.0	46.1	8781
15:29:19	3.2	7.1	46.2	8786
15:29:21	2.8	7.1	46.2	8786
15:29:22	2.3	7.2	46.2	8789
15:29:24	2.0	7.3	46.2	8790
15:29:26	1.6	7.2	46.2	8791
15:29:27	1.2	7.1	46.2	8793
15:29:29	0.7	7.2	46.2	8795
15:29:30	0.4	7.2	46.2	8796
15:29:32	0.0	7.2	46.2	8800
15:29:33	-0.2	7.1	46.2	8799
15:29:35	-0.6	7.0	46.2	8798
15:29:37	-0.9	7.1	46.3	8801
15:29:38	-1.4	7.1	46.3	8804
15:29:40	-1.8	7.0	46.3	8801
15:29:41	-2.1	7.0	46.3	8805
15:29:43	-2.5	7.0	46.3	8810
15:29:45	-2.9	7.0	46.3	8811
15:29:46	-3.3	7.0	46.3	8816
15:29:48	-3.6	7.0	46.3	8815
15:29:49	-4.0	7.1	46.2	8815
15:29:51	-4.4	7.1	46.2	8819
15:29:53	-4.8	6.9	46.2	8821
15:29:54	-5.1	6.9	46.2	8824
15:29:56	-5.5	6.8	46.2	8821
15:29:57	-5.9	6.8	46.2	8826
15:29:59	-6.2	6.9	46.2	8826
15:30:01	-6.5	7.0	46.2	8828
15:30:02	-6.9	7.0	46.2	8830
15:30:04	-7.3	7.1	46.2	8831
15:30:05	-7.5	7.0	46.2	8831
15:30:07	-8.0	7.0	46.2	8831
15:30:08	-8.3	7.0	46.2	8832
15:30:10	-8.6	7.1	46.1	8833
15:30:12	-9.0	7.2	46.1	8836
15:30:13	-9.4	7.1	46.0	8836
15:30:17	-10.1	6.9	46.0	8840
15:30:18	-10.4	6.9	46.0	8838
15:30:21	-11.0	6.9	46.0	8841
15:30:23	-11.2	6.9	46.0	8841
15:30:24	-11.6	6.9	46.0	8841
15:30:26	-11.9	6.9	46.0	8842
15:30:27	-12.2	7.0	45.9	8843
15:30:29	-12.6	6.9	45.9	8843
15:30:31	-12.9	6.8	45.9	8843
15:30:32	-13.2	6.7	45.9	8845
15:30:34	-13.5	6.7	45.9	8847
15:30:35	-13.7	6.7	46.0	8846
