time	T hot	T water	T cold	mBar
15:56:07	25.3	25.4	25.0	7742
15:56:09	25.3	25.4	25.0	7739
15:56:10	25.3	25.4	25.1	7738
15:56:12	25.3	25.4	25.0	7736
15:56:13	25.3	25.4	25.0	7734
15:56:15	25.3	25.3	25.1	7732
15:56:16	25.3	25.3	25.0	7734
15:56:18	25.3	25.3	25.0	7732
15:56:20	25.3	25.2	25.1	7731
15:56:21	25.3	25.3	25.1	7728
15:56:23	25.3	25.3	25.1	7728
15:56:24	25.3	25.3	25.1	7727
15:56:26	25.3	25.3	25.1	7725
15:56:28	25.3	25.3	25.1	7723
15:56:29	25.3	25.3	25.1	7722
15:56:31	25.3	25.3	25.1	7722
15:56:32	25.3	25.3	25.1	7720
15:56:34	25.2	25.3	25.1	7718
15:56:36	25.2	25.3	25.1	7718
15:56:37	25.2	25.3	25.0	7717
15:56:39	25.3	25.3	25.1	7715
15:56:40	25.2	25.3	25.1	7716
15:56:42	25.2	25.3	25.0	7713
15:56:43	25.2	25.3	25.0	7711
15:56:45	25.2	25.3	25.0	7713
15:56:47	25.2	25.3	25.0	7710
15:56:48	25.2	25.3	25.0	7708
15:56:50	25.2	25.3	25.0	7708
15:56:51	25.1	25.3	25.0	7707
15:56:53	25.1	25.2	25.0	7706
15:56:55	25.1	25.2	25.0	7707
15:56:56	25.2	25.2	25.0	7706
15:56:58	25.2	25.3	25.0	7705
15:56:59	25.1	25.2	25.0	7701
15:57:01	25.1	25.3	25.0	7703
15:57:02	25.1	25.3	25.0	7702
15:57:04	25.1	25.4	25.0	7700
15:57:06	25.1	25.4	25.0	7699
15:57:07	25.1	25.4	25.0	7695
15:57:09	25.1	25.4	25.0	7697
15:57:10	25.1	25.4	25.0	7696
15:57:12	25.1	25.4	25.0	7695
15:57:14	25.1	25.4	25.0	7695
15:57:15	25.1	25.4	25.0	7694
15:57:17	25.2	25.4	25.0	7692
15:57:18	25.1	25.4	25.0	7692
15:57:20	25.1	25.4	25.0	7690
15:57:21	25.1	25.4	25.0	7690
15:57:23	25.1	25.4	25.0	7692
15:57:25	25.1	25.4	25.0	7689
15:57:26	25.1	25.4	25.0	7687
15:57:28	25.1	25.4	25.0	7686
15:57:29	25.1	25.4	25.0	7685
15:57:31	25.1	25.4	25.0	7682
15:57:33	25.2	25.4	25.0	7682
15:57:34	25.2	25.4	25.0	7682
15:57:36	25.2	25.4	25.0	7682
15:57:37	25.2	25.4	25.1	7681
15:57:39	25.1	25.4	25.0	7679
15:57:41	25.1	25.4	25.0	7679
15:57:42	25.2	25.4	25.0	7679
15:57:44	25.2	25.4	25.0	7677
15:57:45	25.1	25.4	25.0	7677
15:57:47	25.1	25.4	25.0	7676
15:57:48	25.1	25.3	25.0	7675
15:57:50	25.1	25.4	25.0	7675
15:57:52	25.2	25.3	25.0	7674
15:57:53	25.1	25.3	25.0	7673
15:57:55	25.1	25.3	25.0	7673
15:57:56	25.1	25.3	25.0	7671
15:57:58	25.2	25.3	25.0	7669
15:58:00	25.1	25.2	25.0	7668
15:58:01	25.1	25.3	25.0	7666
15:58:03	25.1	25.3	25.0	7668
15:58:04	25.1	25.3	25.0	7666
15:58:06	25.1	25.3	25.0	7664
15:58:08	25.1	25.3	25.0	7665
15:58:09	25.1	25.3	25.0	7665
15:58:11	25.1	25.3	25.0	7663
15:58:12	25.1	25.3	25.0	7661
15:58:14	25.1	25.3	25.0	7661
15:58:15	25.1	25.3	25.0	7660
15:58:17	25.1	25.2	25.0	7663
15:58:19	25.1	25.2	25.0	7660
15:58:20	25.1	25.2	25.0	7658
15:58:22	25.1	25.3	25.0	7660
15:58:23	25.1	25.3	25.0	7658
15:58:25	25.1	25.3	25.0	7654
15:58:27	25.1	25.3	25.0	7651
15:58:28	25.0	25.3	25.0	7649
15:58:30	25.0	25.3	25.0	7650
15:58:31	25.1	25.3	25.0	7650
15:58:33	25.1	25.3	25.0	7643
15:58:34	25.0	25.3	25.0	7647
15:58:36	25.0	25.2	25.0	7640
15:58:38	25.0	25.2	24.9	7640
15:58:39	25.0	25.2	24.9	7640
15:58:41	25.0	25.2	25.0	7638
15:58:42	25.0	25.2	24.9	7638
15:58:44	25.0	25.2	24.9	7638
15:58:46	25.0	25.2	24.9	7637
15:58:47	25.0	25.3	24.9	7635
15:58:49	25.0	25.3	24.9	7634
