time	T cell	T cold	mBar
10:41:00	28.7	26.6	7984
10:41:01	28.8	26.6	7984
10:41:03	28.8	26.4	7984
10:41:04	28.7	25.5	7982
10:41:06	28.7	24.5	7982
10:41:07	28.7	23.5	7978
10:41:09	28.7	22.7	7977
10:41:11	28.7	21.6	7973
10:41:12	28.7	20.7	7973
10:41:14	28.7	19.9	7970
10:41:15	28.7	18.9	7968
10:41:17	28.7	18.2	7965
10:41:18	28.8	17.4	7963
10:41:20	28.8	16.5	7960
10:41:22	28.9	15.8	7958
10:41:23	29.0	15.0	7957
10:41:25	29.0	14.2	7956
10:41:26	29.1	13.5	7952
10:41:28	29.1	12.6	7949
10:41:30	29.2	12.0	7947
10:41:31	29.3	11.3	7944
10:41:33	29.3	10.5	7942
10:41:34	29.3	9.9	7940
10:41:36	29.3	9.2	7936
10:41:37	29.4	8.5	7935
10:41:39	29.5	7.9	7932
10:41:41	29.5	7.2	7930
10:41:42	29.5	6.5	7926
10:41:44	29.6	5.9	7923
10:41:45	29.6	5.3	7921
10:41:47	29.7	4.6	7923
10:41:49	29.7	4.0	7919
10:41:50	29.8	3.4	7918
10:41:52	29.9	2.8	7913
10:41:53	29.9	2.3	7911
10:41:55	29.9	1.8	7908
10:41:56	30.0	1.2	7906
10:41:58	30.0	0.6	7904
10:42:00	30.1	0.0	7903
10:42:01	30.1	-0.4	7901
10:42:03	30.1	-0.9	7899
10:42:04	30.2	-1.5	7895
10:42:06	30.2	-2.0	7893
10:42:07	30.3	-2.5	7890
10:42:09	30.3	-3.1	7889
10:42:11	30.3	-3.6	7885
10:42:12	30.4	-4.1	7880
10:42:14	30.4	-4.6	7872
10:42:15	30.5	-5.1	7868
10:42:17	30.5	-5.6	7867
10:42:18	30.5	-6.0	7864
10:42:20	30.5	-6.6	7862
10:42:22	30.6	-7.0	7862
10:42:23	30.6	-7.5	7861
10:42:25	30.6	-7.9	7858
10:42:26	30.6	-8.4	7856
10:42:28	30.6	-8.9	7854
10:42:30	30.7	-9.3	7851
10:42:31	30.7	-9.8	7847
10:42:33	30.7	-10.2	7847
10:42:34	30.8	-10.6	7846
10:42:36	30.8	-11.1	7845
10:42:37	30.8	-11.5	7842
10:42:39	30.8	-11.9	7837
10:42:41	30.8	-12.4	7837
10:42:42	30.8	-12.8	7835
10:42:44	30.8	-13.2	7833
10:42:45	30.8	-13.6	7832
10:42:47	30.8	-14.0	7830
10:42:48	30.9	-14.4	7827
10:42:50	30.9	-14.8	7826
10:42:52	30.9	-15.2	7827
10:42:53	30.9	-15.6	7821
10:42:55	30.9	-15.9	7820
10:42:56	30.9	-16.3	7819
10:42:58	30.9	-16.7	7816
10:43:00	30.9	-17.1	7816
10:43:01	31.0	-17.4	7815
10:43:03	30.9	-17.8	7811
10:43:04	31.0	-18.1	7809
10:43:06	31.0	-18.4	7807
10:43:07	31.0	-18.8	7806
10:43:09	31.0	-19.1	7802
10:43:11	31.0	-19.5	7802
10:43:12	31.1	-19.8	7801
10:43:14	31.1	-20.1	7801
10:43:15	31.0	-20.5	7798
10:43:17	31.1	-20.8	7795
10:43:19	31.0	-21.1	7793
10:43:20	31.1	-21.5	7793
10:43:22	31.1	-21.8	7789
10:43:23	31.1	-22.1	7789
10:43:25	31.1	-22.4	7788
10:43:26	31.1	-22.6	7786
10:43:28	31.0	-23.0	7785
10:43:30	31.1	-23.3	7784
10:43:31	31.0	-23.7	7780
10:43:33	31.1	-23.9	7780
10:43:34	31.0	-24.2	7778
10:43:36	31.1	-24.5	7774
10:43:38	31.1	-24.8	7773
10:43:39	31.1	-25.1	7772
10:43:41	31.0	-25.3	7770
10:43:42	31.1	-25.7	7768
10:43:44	31.0	-25.9	7767
10:43:45	31.0	-26.1	7767
