time	T cell	T cell(DIFA)	mBar
12:01:00	14.4	14.5	8093
12:01:02	14.4	14.5	8093
12:01:04	14.4	14.6	8092
12:01:05	14.4	14.6	8091
12:01:07	14.4	14.5	8087
12:01:08	14.4	14.5	8087
12:01:10	14.4	14.5	8085
12:01:12	14.4	14.5	8083
12:01:13	14.4	14.5	8078
12:01:15	14.4	14.6	8078
12:01:16	14.4	14.5	8076
12:01:18	14.4	14.5	8072
12:01:19	14.4	14.6	8072
12:01:21	14.4	14.6	8070
12:01:23	14.4	14.6	8071
12:01:24	14.3	14.5	8064
12:01:26	14.4	14.5	8062
12:01:27	14.3	14.5	8059
12:01:29	14.3	14.5	8056
12:01:30	14.2	14.5	8054
12:01:32	14.3	14.5	8051
12:01:34	14.2	14.4	8048
12:01:35	14.1	14.4	8046
12:01:37	14.1	14.4	8045
12:01:38	14.0	14.4	8043
12:01:40	14.0	14.3	8040
12:01:42	13.9	14.2	8036
12:01:43	13.9	14.2	8034
12:01:45	13.8	14.1	8033
12:01:46	13.8	14.1	8031
12:01:48	13.8	14.0	8030
12:01:49	13.7	13.9	8028
12:01:51	13.6	13.9	8025
12:01:53	13.5	13.8	8026
12:01:54	13.5	13.8	8022
12:01:56	13.5	13.7	8019
12:01:57	13.4	13.6	8015
12:01:59	13.3	13.5	8018
12:02:00	13.2	13.5	8015
12:02:02	13.1	13.4	8013
12:02:04	13.1	13.3	8010
12:02:05	13.0	13.2	8005
12:02:07	13.0	13.2	8007
12:02:08	12.9	13.1	8003
12:02:10	12.9	13.0	8003
12:02:11	12.8	12.9	7999
12:02:13	12.7	12.9	8000
12:02:15	12.6	12.9	7998
12:02:16	12.6	12.8	7996
12:02:18	12.5	12.7	7994
12:02:19	12.4	12.7	7992
12:02:21	12.4	12.6	7989
12:02:23	12.4	12.5	7988
12:02:24	12.3	12.4	7988
12:02:26	12.3	12.4	7986
12:02:27	12.2	12.4	7983
12:02:29	12.1	12.3	7983
12:02:30	12.1	12.3	7981
12:02:32	12.0	12.2	7978
12:02:34	11.9	12.1	7976
12:02:35	11.8	12.0	7973
12:02:37	11.8	12.0	7976
12:02:38	11.7	11.9	7972
12:02:40	11.7	11.9	7971
12:02:41	11.7	11.8	7967
12:02:43	11.6	11.8	7967
12:02:45	11.6	11.7	7963
12:02:46	11.5	11.7	7963
12:02:48	11.5	11.6	7961
12:02:49	11.3	11.5	7961
12:02:51	11.3	11.4	7960
12:02:52	11.2	11.4	7958
12:02:54	11.1	11.3	7955
12:02:56	11.1	11.3	7953
12:02:57	11.1	11.2	7952
12:02:59	11.0	11.2	7951
12:03:00	11.0	11.1	7950
12:03:02	11.0	11.1	7947
12:03:04	10.9	11.0	7946
12:03:05	10.9	11.0	7945
12:03:07	10.9	11.0	7944
12:03:08	10.8	10.9	7942
12:03:10	10.7	10.8	7941
12:03:11	10.6	10.8	7939
12:03:13	10.6	10.7	7937
